,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
0,0,1503599958933,1,-2,0,1,-1,-3,-1,-2
1,1,1503599958941,-2,-2,1,0,0,0,-4,4
2,2,1503599958957,0,-1,-1,0,1,1,-3,-5
3,3,1503599958963,-3,0,0,0,-1,-2,0,0
4,4,1503599958979,5,3,0,-1,0,0,0,-31
5,5,1503599958985,-1,-1,0,-3,0,-1,0,1
6,6,1503599958995,-2,-2,-1,0,-2,-2,1,7
7,7,1503599959000,-1,-2,0,-1,0,0,-2,3
8,8,1503599959015,-4,0,1,-2,-3,0,-5,-10
9,9,1503599959023,-5,-1,-1,-1,1,-2,-1,0
10,10,1503599959031,0,-3,-4,-2,0,0,2,7
11,11,1503599959045,1,-2,4,-1,-2,0,0,-1
12,12,1503599959053,0,-1,-3,0,0,0,0,0
13,13,1503599959067,2,1,-1,0,-1,-1,-1,-1
14,14,1503599959076,0,0,0,-2,-2,-1,-1,8
15,15,1503599959083,-3,-2,0,0,0,-1,1,-2
16,16,1503599959091,-1,1,-1,0,-2,-1,1,3
17,17,1503599959108,1,0,-2,-1,-3,-1,-2,-4
18,18,1503599959114,0,-3,-2,-1,1,0,-1,2
19,19,1503599959120,4,2,0,0,0,0,-1,1
20,20,1503599959135,-3,-1,0,-2,0,-1,0,1
21,21,1503599959143,2,-1,0,0,0,-1,1,-2
22,22,1503599959151,3,-1,-1,0,0,-1,0,-1
23,23,1503599959165,-6,-1,-1,-1,-4,2,0,15
24,24,1503599959174,-3,0,-3,0,0,-1,-2,3
25,25,1503599959181,1,1,-3,-3,-1,-1,-2,-2
26,26,1503599959195,-3,-1,0,-2,-2,-1,1,0
27,27,1503599959203,1,-1,1,-1,0,-4,1,-3
28,28,1503599959212,5,-2,-1,2,1,-1,2,7
29,29,1503599959225,-2,-1,-2,-1,-2,2,0,1
30,30,1503599959233,-1,3,0,1,-1,-1,-4,-2
31,31,1503599959250,-1,-1,-3,1,0,0,-4,-5
32,32,1503599959256,-1,-1,-1,-3,-2,-1,-1,-1
33,33,1503599959263,-5,-1,1,1,1,0,0,-5
34,34,1503599959278,-2,1,0,-1,-3,-3,-1,0
35,35,1503599959285,1,2,2,-1,0,-1,-3,-2
36,36,1503599959293,-3,-2,0,-2,-2,0,-1,-3
37,37,1503599959309,2,-3,0,-2,-1,0,1,-4
38,38,1503599959317,-2,0,-2,1,-1,-1,0,-1
39,39,1503599959324,-2,2,0,-2,0,0,0,2
40,40,1503599959338,-1,-4,-1,-1,-1,1,-2,-1
41,41,1503599959346,0,0,-3,-1,-1,-3,-1,0
42,42,1503599959353,-3,2,0,0,-1,-2,-2,13
43,43,1503599959367,-1,-1,-2,-1,-1,0,-1,0
44,44,1503599959376,2,-2,-3,-3,-2,-1,2,-7
45,45,1503599959384,1,1,2,1,-1,-2,0,2
46,46,1503599959398,-2,0,-2,0,0,1,2,0
47,47,1503599959405,-2,-1,-1,-1,0,-3,-1,-5
48,48,1503599959413,4,0,2,0,0,-2,0,-14
49,49,1503599959427,-2,-4,-1,0,-1,-2,-2,-6
50,50,1503599959435,-2,-1,-1,-1,-1,-2,0,2
51,51,1503599959443,1,0,20,-1,0,0,3,-3
52,52,1503599959458,-1,-2,14,1,-2,-1,-3,2
53,53,1503599959465,-2,1,-24,0,-2,-1,-2,2
54,54,1503599959475,0,2,-6,-1,2,-1,-1,-8
55,55,1503599959487,-2,-3,-4,-1,-1,1,0,-1
56,56,1503599959495,-1,-1,-10,-1,-2,-1,-2,3
57,57,1503599959503,2,-2,-4,-2,-3,0,0,-1
58,58,1503599959518,-2,-1,-2,-1,0,-1,-3,4
59,59,1503599959528,0,4,2,0,1,0,-2,-15
60,60,1503599959534,-1,1,3,0,0,-1,-1,2
61,61,1503599959547,0,0,4,0,-1,-1,-2,0
62,62,1503599959555,0,1,4,0,0,-1,-3,-6
63,63,1503599959563,-4,0,6,0,-1,1,1,10
64,64,1503599959578,1,-2,-8,-1,1,0,1,5
65,65,1503599959586,-2,-1,-6,-2,-1,-2,-2,0
66,66,1503599959593,1,2,-2,-1,-2,-1,-1,-6
67,67,1503599959607,0,0,-1,-2,-1,-1,0,-15
68,68,1503599959608,-2,-1,-1,-1,0,-1,0,-1
69,69,1503599959615,-3,-2,-2,-1,-1,-1,1,2
70,70,1503599959623,0,0,-2,-1,2,-2,-5,-13
71,71,1503599959638,-1,0,2,-1,0,0,-1,-13
72,72,1503599959645,-2,-2,0,-1,-1,-1,0,5
73,73,1503599959653,0,-1,0,0,0,-1,-2,5
74,74,1503599959667,-1,-2,-2,-1,0,1,-2,0
75,75,1503599959677,-3,-3,-3,-3,-2,0,1,1
76,76,1503599959683,-2,-3,-2,-1,-2,-4,-2,3
77,77,1503599959698,5,1,0,1,-1,-1,0,-1
78,78,1503599959705,1,2,1,-1,-1,-1,1,2
79,79,1503599959713,0,1,4,-1,1,-1,0,0
80,80,1503599959727,6,-2,-5,0,-1,-1,2,-8
81,81,1503599959735,-1,1,32,0,-1,-1,-1,7
82,82,1503599959744,-3,-1,34,-4,-3,-4,-1,3
83,83,1503599959758,-2,1,-43,-2,-1,0,-2,-5
84,84,1503599959765,3,0,-33,0,-1,2,-2,2
85,85,1503599959773,0,-2,-14,-2,-2,0,-1,2
86,86,1503599959788,-2,-1,-3,1,0,0,0,4
87,87,1503599959796,0,-1,51,0,1,-1,0,-2
88,88,1503599959804,1,-1,11,0,-1,-3,-3,0
89,89,1503599959818,0,-2,-38,-3,-2,-1,2,0
90,90,1503599959825,1,2,12,-2,-1,-1,-1,4
91,91,1503599959833,0,0,-13,1,-2,-2,-1,0
92,92,1503599959848,-1,1,-1,1,0,1,-4,-8
93,93,1503599959855,-4,-5,8,-2,-2,-1,-2,-6
94,94,1503599959863,2,-2,-17,-2,1,-1,2,-11
95,95,1503599959878,1,-4,-7,0,1,1,2,6
96,96,1503599959886,-2,0,-2,0,-1,-1,-2,2
97,97,1503599959893,-1,1,28,0,-1,-3,-2,-5
98,98,1503599959907,-4,-1,-4,-1,1,0,0,-2
99,99,1503599959916,-4,0,-24,-3,-3,-1,-2,-2
100,100,1503599959923,0,0,-5,0,0,0,-1,-2
101,101,1503599959938,-1,-1,16,0,0,-1,-1,-3
102,102,1503599959952,-2,0,28,-1,-3,-2,1,5
103,103,1503599959954,-10,-1,-26,-2,-2,-1,-4,8
104,104,1503599959967,-1,-3,-21,-2,-1,-2,-1,3
105,105,1503599959975,-1,3,-8,-3,0,1,0,0
106,106,1503599959983,0,-2,-1,-1,0,0,-1,1
107,107,1503599959998,4,-2,26,0,0,-4,-1,-18
108,108,1503599960005,-1,-1,-7,0,1,1,1,-1
109,109,1503599960014,1,2,-9,1,0,-1,1,6
110,110,1503599960027,1,2,-2,-2,-3,-2,-3,-2
111,111,1503599960035,0,0,2,-1,1,0,0,2
112,112,1503599960045,-2,-1,-3,-1,-1,-1,0,5
113,113,1503599960058,1,1,2,0,-1,-2,-1,-3
114,114,1503599960065,-6,-1,1,-1,-1,-1,-1,2
115,115,1503599960074,3,-2,0,2,-1,0,-2,-31
116,116,1503599960089,0,-2,1,-3,-1,-2,-4,-1
117,117,1503599960095,1,0,-4,-1,-1,0,0,12
118,118,1503599960103,3,2,-1,-1,-1,0,1,-3
119,119,1503599960118,1,-2,1,-1,-2,-1,0,4
120,120,1503599960125,-3,0,0,-1,0,-1,0,3
121,121,1503599960133,-3,-1,9,-1,-1,-2,1,4
122,122,1503599960148,-2,0,-1,0,-1,0,1,2
123,123,1503599960156,1,2,-10,1,1,-2,-1,-9
124,124,1503599960170,1,0,-5,-2,-2,-2,-4,-4
125,125,1503599960179,-2,1,7,-1,-2,0,-4,11
126,126,1503599960186,4,-1,2,1,-2,-1,2,0
127,127,1503599960200,-1,-1,-11,-2,0,0,0,4
128,128,1503599960207,-3,0,-3,-2,-1,0,0,2
129,129,1503599960215,-1,0,15,-2,0,0,2,-1
130,130,1503599960230,3,2,-1,0,-2,0,0,-1
131,131,1503599960238,-1,-2,-11,-2,-1,-1,-2,-1
132,132,1503599960247,-7,1,-1,-1,0,-1,-2,-5
133,133,1503599960260,-1,0,-2,-1,-1,-1,-3,1
134,134,1503599960267,-2,-2,0,0,1,-1,-1,-1
135,135,1503599960275,0,0,2,-1,0,0,0,-3
136,136,1503599960290,-6,-2,2,-2,-2,-1,-1,8
137,137,1503599960298,-1,-1,-4,0,-1,-1,0,4
138,138,1503599960305,-1,-1,1,0,-1,0,-3,1
139,139,1503599960327,3,0,0,0,-1,0,-1,-1
140,140,1503599960328,1,-2,-2,0,-2,-1,0,-6
141,141,1503599960335,-1,2,0,-1,-2,-2,-1,-1
142,142,1503599960350,-4,0,2,1,-1,-2,-2,-14
143,143,1503599960358,-2,-2,-1,-1,1,-1,0,4
144,144,1503599960365,2,-1,-1,-2,0,0,-2,-7
145,145,1503599960381,0,-1,1,0,1,-1,0,-4
146,146,1503599960388,2,-1,0,-2,0,-1,1,4
147,147,1503599960395,2,0,0,2,-1,-1,-2,-3
148,148,1503599960410,1,0,1,-1,-1,0,0,-19
149,149,1503599960418,-3,0,2,-1,-1,-1,1,6
150,150,1503599960425,-2,2,-1,0,0,-2,0,1
151,151,1503599960440,0,-1,-2,-2,-2,0,-1,-4
152,152,1503599960447,-1,-3,0,-4,-1,-1,2,21
153,153,1503599960456,0,1,-2,0,-1,-2,0,7
154,154,1503599960470,1,3,2,-1,-1,-3,-2,0
155,155,1503599960478,-1,-2,-1,0,1,-2,-1,-3
156,156,1503599960485,-1,-1,31,-1,-2,2,0,3
157,157,1503599960500,0,1,-5,-4,-2,0,-2,-6
158,158,1503599960507,-4,-2,-30,-3,-1,-1,-3,9
159,159,1503599960515,-2,-2,-11,0,0,-2,0,4
160,160,1503599960530,-2,-3,-2,0,-2,0,0,-2
161,161,1503599960538,-1,-2,-3,-2,-2,-2,-1,9
162,162,1503599960548,-1,-1,-2,-1,0,-1,0,-1
163,163,1503599960560,-1,-1,1,1,0,0,-2,-3
164,164,1503599960567,0,1,-1,0,-1,-2,-1,-4
165,165,1503599960575,-2,1,4,-1,-1,0,0,-4
166,166,1503599960590,1,-2,69,1,-1,-1,-1,-5
167,167,1503599960598,1,-2,-18,-1,-1,0,-1,-5
168,168,1503599960605,0,0,-45,0,1,-1,0,-4
169,169,1503599960620,-8,-1,-19,-2,-1,0,0,3
170,170,1503599960627,6,-1,-4,0,1,1,2,-2
171,171,1503599960636,1,1,5,-3,-2,-2,-2,-2
172,172,1503599960650,-1,0,2,0,1,0,-2,1
173,173,1503599960658,2,2,10,1,0,1,-1,0
174,174,1503599960665,-2,-1,-14,-2,1,0,1,2
175,175,1503599960682,-3,-1,10,-2,-2,-1,0,-1
176,176,1503599960687,-4,-1,-6,0,-3,0,-1,-2
177,177,1503599960695,-1,-2,2,0,1,0,0,-2
178,178,1503599960710,-3,-2,-5,-1,-1,0,-3,1
179,179,1503599960718,-1,-2,1,0,-1,0,0,1
180,180,1503599960725,-5,-1,-2,-1,-3,-1,-4,5
181,181,1503599960740,1,-1,0,0,-2,-1,-2,-1
182,182,1503599960749,-2,0,-2,0,-2,-3,-1,-2
183,183,1503599960755,1,1,2,-1,-1,-1,-2,2
184,184,1503599960770,3,-2,-4,-1,1,-2,1,-1
185,185,1503599960778,-1,2,2,-1,0,-2,1,-3
186,186,1503599960787,1,-1,-1,-3,-1,0,-1,0
187,187,1503599960800,-1,-1,0,-2,-1,0,0,2
188,188,1503599960807,-1,1,1,0,1,0,-3,-3
189,189,1503599960816,-1,-2,-2,-1,0,0,-3,-5
190,190,1503599960830,0,0,-1,1,-2,-2,2,-1
191,191,1503599960845,-1,2,0,-2,-2,-1,0,-3
192,192,1503599960846,-5,-1,0,0,-1,-2,-5,-2
193,193,1503599960860,-1,-1,0,0,-1,-1,-1,-2
194,194,1503599960867,4,4,3,0,0,-1,-1,-3
195,195,1503599960875,-2,-4,-1,0,-1,0,-1,0
