,Start,End,Ignored
0,690.0,760.0,1
1,1436.6666666666667,1516.6666666666667,2
2,2720.0,2796.6666666666665,3
3,3820.0,3893.3333333333335,4
4,4683.333333333333,4753.333333333333,1
5,5610.0,5680.0,2
6,6510.0,6600.0,3
7,7466.666666666667,7556.666666666667,4
8,8303.333333333334,8373.333333333334,1
9,9063.333333333334,9126.666666666666,2
10,9783.333333333334,9873.333333333334,3
11,10553.333333333334,10620.0,4
12,11623.333333333334,11690.0,1
13,12390.0,12453.333333333334,2
14,13270.0,13346.666666666666,3
15,14553.333333333334,14616.666666666666,4
16,15310.0,15376.666666666666,1
17,16190.0,16256.666666666666,2
18,16953.333333333332,17046.666666666668,3
19,17630.0,17700.0,4
20,18483.333333333332,18543.333333333332,1
21,19416.666666666668,19500.0,2
22,20373.333333333332,20453.333333333332,3
23,21240.0,21323.333333333332,4
24,22136.666666666668,22220.0,1
25,23490.0,23563.333333333332,2
26,24316.666666666668,24390.0,3
27,25233.333333333332,25306.666666666668,4
28,26043.333333333332,26103.333333333332,1
29,26926.666666666668,27000.0,2
30,27643.333333333332,27726.666666666668,3
31,28740.0,28806.666666666668,4
32,29646.666666666668,29703.333333333332,1
33,30553.333333333332,30630.0,2
34,31526.666666666668,31610.0,3
35,32623.333333333332,32693.333333333332,4
36,33666.666666666664,33733.333333333336,1
37,34536.666666666664,34600.0,2
38,35316.666666666664,35383.333333333336,3
39,36750.0,36813.333333333336,4
