SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,STD_DEV,MEAN,MIN,MAX,RMS,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,AMP_FFT1,AMP_FFT2,AMP_FFT3,AMP_FFT4,AMP_FFT5,AMP_FFT6,AMP_FFT7,AMP_FFT8
0,1.50369E+12,-1,-1,-1,0,-2,-2,1,-1,0.991031209,-0.875,-2,1,1.274754878,-7+0j,1+0.5857864376269051j,-3+2j,0.9999999999999999-3.414213562373095j,1+0j,0.9999999999999999+3.414213562373095j,-3-2j,1-0.5857864376269051j,49,1.343145751,13,12.65685425,1,12.65685425,13,1.343145751
1,1.50369E+12,-1,-1,-1,-1,0,0,2,0,1.035098339,-0.25,-1,2,1,-2+0j,-1+4.414213562373095j,-2-0j,-0.9999999999999999-1.585786437626905j,2+0j,-0.9999999999999999+1.585786437626905j,-2+0j,-1-4.414213562373095j,4,20.48528137,4,3.514718626,4,3.514718626,4,20.48528137
2,1.50369E+12,0,-1,-2,-1,0,1,1,-2,1.195228609,-0.5,-2,1,1.224744871,-4+0j,-2.121320343559643+3.7071067811865475j,1-3j,2.121320343559643-2.2928932188134525j,2+0j,2.121320343559643+2.2928932188134525j,1+3j,-2.121320343559643-3.7071067811865475j,16,18.24264069,10,9.757359313,4,9.757359313,10,18.24264069
3,1.50369E+12,-1,0,-2,-1,-2,0,0,1,1.060660172,-0.625,-2,1,1.17260394,-5+0j,2.414213562373095+3.414213562373095j,-1-0j,-0.4142135623730949-0.5857864376269049j,-5+0j,-0.4142135623730949+0.5857864376269049j,-1+0j,2.414213562373095-3.414213562373095j,25,17.48528137,1,0.514718626,25,0.514718626,1,17.48528137
4,1.50369E+12,-1,-1,0,0,-2,-2,-1,-1,0.755928946,-1,-2,0,1.224744871,-8+0j,1-2.414213562373095j,-2+2j,0.9999999999999999-0.4142135623730949j,0j,0.9999999999999999+0.4142135623730949j,-2-2j,1+2.414213562373095j,64,6.828427125,8,1.171572875,0,1.171572875,8,6.828427125
5,1.50369E+12,-2,0,0,0,0,-2,-2,-4,1.488047618,-1.25,-4,0,1.870828693,-10+0j,-3.414213562373095-6.242640687119286j,-2j,-0.5857864376269053-2.2426406871192857j,2+0j,-0.5857864376269053+2.2426406871192857j,2j,-3.414213562373095+6.242640687119286j,100,50.627417,4,5.372583002,4,5.372583002,4,50.627417
6,1.50369E+12,0,0,-1,-1,0,-2,-2,-1,0.83452296,-0.875,-2,0,1.17260394,-7+0j,1.4142135623730951-2.414213562373095j,3-0j,-1.4142135623730951-0.4142135623730949j,1+0j,-1.4142135623730951+0.4142135623730949j,3+0j,1.4142135623730951+2.414213562373095j,49,7.828427125,9,2.171572875,1,2.171572875,9,7.828427125
7,1.50369E+12,0,-1,1,0,1,0,-2,-1,1.035098339,-0.25,-2,1,1,-2+0j,-2.414213562373095-3j,2-0j,0.4142135623730949+3j,2+0j,0.4142135623730949-3j,2+0j,-2.414213562373095+3j,4,14.82842712,4,9.171572875,4,9.171572875,4,14.82842712
8,1.50369E+12,0,0,0,0,-2,-1,-1,-1,0.744023809,-0.625,-2,0,0.935414347,-5+0j,2-2.414213562373095j,-1-0j,2-0.4142135623730949j,-1+0j,2+0.4142135623730949j,-1+0j,2+2.414213562373095j,25,9.828427125,1,4.171572875,1,4.171572875,1,9.828427125
9,1.50369E+12,0,-1,-2,0,-2,-1,0,1,1.060660172,-0.625,-2,1,1.17260394,-5+0j,2.7071067811865475+2.7071067811865475j,3j,1.2928932188134525-1.2928932188134525j,-3+0j,1.2928932188134525+1.2928932188134525j,-3j,2.7071067811865475-2.7071067811865475j,25,14.65685425,9,3.343145751,9,3.343145751,9,14.65685425
