,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1091,1091,1503701150547,-5,-11,-6,-3,-3,-2,6,1
1092,1092,1503701150562,8,2,0,-6,-7,-6,-7,-14
1093,1093,1503701150570,-5,-2,0,-5,-11,-6,-4,3
1094,1094,1503701150578,-8,-6,3,1,3,1,-5,-19
1095,1095,1503701150593,7,4,-1,-4,-5,-6,-4,5
1096,1096,1503701150600,20,14,0,-3,-1,-2,-3,-3
1097,1097,1503701150601,-30,-30,-11,2,5,0,5,-1
1098,1098,1503701150608,1,13,-6,-2,2,-1,-4,12
1099,1099,1503701150622,-14,-17,-11,-5,1,-2,0,3
1100,1100,1503701150630,21,-10,-7,-3,-6,0,-4,13
1101,1101,1503701150645,-6,8,-3,-3,1,-2,-2,-7
1102,1102,1503701150651,-18,-11,-2,-3,-1,-3,-7,-9
1103,1103,1503701150660,1,14,18,6,5,2,4,11
1104,1104,1503701150670,-15,-5,-4,-3,-5,2,1,-1
1105,1105,1503701150671,-2,-15,-6,-3,-3,-3,-3,-8
1106,1106,1503701150682,4,0,-4,-2,-2,-1,1,4
1107,1107,1503701150690,14,11,11,2,0,0,3,-13
1108,1108,1503701150698,-26,-17,-3,-2,6,-1,-3,-4
1109,1109,1503701150711,-25,-26,-7,0,6,4,3,-3
1110,1110,1503701150720,21,20,2,-3,0,12,7,-9
1111,1111,1503701150727,-8,-1,2,3,-5,-10,-8,-6
1112,1112,1503701150742,-10,-41,-4,-2,-4,-3,-16,3
1113,1113,1503701150750,25,20,3,-6,-11,-2,1,17
1114,1114,1503701150758,3,2,0,-1,2,5,6,14
1115,1115,1503701150772,-22,1,1,3,17,3,-1,-6
1116,1116,1503701150780,10,1,1,2,-3,-5,-3,-1
1117,1117,1503701150787,-8,-2,-3,-2,-11,-2,-1,-4
1118,1118,1503701150804,7,3,1,1,-4,1,4,9
1119,1119,1503701150810,-1,-2,-1,-3,4,1,-2,-14
1120,1120,1503701150818,-5,6,10,9,-3,-1,2,-1
1121,1121,1503701150831,0,4,5,1,4,4,17,10
1122,1122,1503701150841,-3,-1,-5,-5,-2,-6,-5,-3
1123,1123,1503701150848,1,-10,-7,-1,-8,-6,1,1
1124,1124,1503701150862,6,-13,-4,-3,-3,-4,1,5
1125,1125,1503701150871,1,14,7,2,10,5,-13,-10
1126,1126,1503701150878,-1,0,-8,-6,0,-3,-5,9
1127,1127,1503701150891,3,2,2,-1,-11,-8,-2,3
1128,1128,1503701150900,1,4,-3,1,0,-1,1,-9
1129,1129,1503701150914,-15,-4,-10,-6,-10,-6,-1,3
1130,1130,1503701150922,-2,4,-6,-3,-5,-4,-8,-23
1131,1131,1503701150930,21,4,-3,5,13,3,3,5
1132,1132,1503701150945,-1,-3,-7,-4,-2,0,5,-2
1133,1133,1503701150951,3,2,-1,-1,-8,-2,-1,-7
1134,1134,1503701150960,10,-2,2,6,4,5,-2,-3
1135,1135,1503701150975,-11,-6,5,1,-1,4,-1,8
1136,1136,1503701150982,-9,2,3,-4,7,-1,2,21
1137,1137,1503701150990,-11,-1,-1,-2,-1,13,8,6
1138,1138,1503701151005,19,13,1,1,-1,0,12,9
1139,1139,1503701151011,-1,-7,-5,-6,4,6,-11,-10
1140,1140,1503701151020,27,4,4,7,7,-1,-3,-23
1141,1141,1503701151034,-18,-20,0,-1,3,-5,6,0
1142,1142,1503701151043,1,-3,-8,-4,-2,-8,-14,-7
1143,1143,1503701151050,-15,8,7,-3,-4,-6,-6,0
1144,1144,1503701151065,15,11,1,3,21,3,3,6
1145,1145,1503701151072,-2,-8,-5,11,1,-4,-7,-4
1146,1146,1503701151080,-25,2,1,2,4,-4,4,-11
1147,1147,1503701151094,42,0,-4,-6,-5,-4,1,0
1148,1148,1503701151102,3,-4,-3,-6,-13,-5,-14,-16
1149,1149,1503701151110,-21,-17,-6,-1,0,-2,2,-5
1150,1150,1503701151125,0,-3,-1,1,0,2,1,8
1151,1151,1503701151132,13,14,5,-3,-2,-5,-3,0
1152,1152,1503701151141,-3,-5,0,-6,-14,0,-13,12
1153,1153,1503701151154,9,14,-1,-5,-13,-6,4,17
1154,1154,1503701151162,-15,-11,-1,-5,-11,0,12,14
1155,1155,1503701151170,2,5,2,9,18,5,2,-18
1156,1156,1503701151185,-9,-14,-7,-1,1,-2,-5,-18
1157,1157,1503701151191,10,-1,6,-2,-3,-2,1,-9
1158,1158,1503701151200,2,5,-5,-1,1,-1,-1,-2
1159,1159,1503701151214,-14,-12,0,-2,0,4,7,4
1160,1160,1503701151222,1,-2,-7,-6,-7,-4,-4,-3
