SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,STD_DEV,MEAN,MIN,MAX,RMS,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,AMP_FFT1,AMP_FFT2,AMP_FFT3,AMP_FFT4,AMP_FFT5,AMP_FFT6,AMP_FFT7,AMP_FFT8
971,1.5037E+12,-24,-11,-9,-5,-5,0,5,2,9.109453488,-5.875,-24,5,10.35012077,-47+0j,-21.82842712474619+26.727922061357855j,-25+8j,-16.17157287525381-1.2720779386421448j,-19+0j,-16.17157287525381+1.2720779386421448j,-25-8j,-21.82842712474619-26.727922061357855j,2209,1190.862048,689,263.1379515,361,263.1379515,689,1190.862048
972,1.5037E+12,9,9,0,2,9,2,0,6,4.068608046,4.625,0,9,5.989574275,37+0j,7.7781745930520225-2.1213203435596415j,18-3j,-7.7781745930520225-2.1213203435596415j,-1+0j,-7.7781745930520225+2.1213203435596415j,18+3j,7.7781745930520225+2.1213203435596415j,1369,65,333,65,1,65,333,65
973,1.5037E+12,3,-13,-14,-9,-4,-2,-3,4,6.755949759,-4.75,-14,4,7.90569415,-38+0j,8.414213562373094+27.970562748477143j,16+10j,5.585786437626906+5.970562748477143j,2+0j,5.585786437626906-5.970562748477143j,16-10j,8.414213562373094-27.970562748477143j,1444,853.1513703,356,66.84862966,4,66.84862966,356,853.1513703
974,1.5037E+12,2,5,11,3,31,7,-2,4,10.16910587,7.625,-2,31,12.19118534,61+0j,-29.707106781186546-10.878679656440358j,24-5j,-28.292893218813454+15.121320343559642j,23+0j,-28.292893218813454-15.121320343559642j,24+5j,-29.707106781186546+10.878679656440358j,3721,1000.857864,601,1029.142136,529,1029.142136,601,1000.857864
975,1.5037E+12,4,13,1,1,15,2,1,2,5.743008171,4.875,1,15,7.254309064,39+0j,-2.5147186257614287-7.071067811865474j,17-12j,-19.48528137423857-7.071067811865474j,3+0j,-19.48528137423857+7.071067811865474j,17+12j,-2.5147186257614287+7.071067811865474j,1521,56.32380977,433,429.6761902,9,429.6761902,433,56.32380977
976,1.5037E+12,-8,-23,-3,1,8,10,-3,-8,10.38886767,-3.25,-23,10,10.24695077,-26+0j,-45.698484809834994+16.970562748477136j,6+6j,13.698484809834994+16.970562748477136j,14+0j,13.698484809834994-16.970562748477136j,6-6j,-45.698484809834994-16.970562748477136j,676,2376.351514,72,475.6484861,196,475.6484861,72,2376.351514
977,1.5037E+12,5,7,-5,-4,-7,-3,-6,-6,5.343554194,-2.375,-7,7,5.533985905,-19+0j,17.65685424949238-9.48528137423857j,9-14j,6.343145750507619-7.4852813742385695j,-7+0j,6.343145750507619+7.4852813742385695j,9+14j,17.65685424949238+9.48528137423857j,361,401.7350647,277,96.26493526,49,96.26493526,277,401.7350647
978,1.5037E+12,-10,-2,-1,-2,-7,-10,-1,-6,3.870677312,-4.875,-10,-1,6.072478901,-39+0j,-0.17157287525380926-8.48528137423857j,-15+4j,-5.828427124746191-8.48528137423857j,1+0j,-5.828427124746191+8.48528137423857j,-15-4j,-0.17157287525380926+8.48528137423857j,1521,72.02943725,241,105.9705627,1,105.9705627,241,72.02943725
979,1.5037E+12,0,-6,-8,-5,-13,-2,-3,-6,3.997767234,-5.375,-13,0,6.547900427,-43+0j,9.464466094067262+7.121320343559642j,-2-3j,16.535533905932738-2.8786796564403576j,-5+0j,16.535533905932738+2.8786796564403576j,-2+3j,9.464466094067262-7.121320343559642j,1849,140.2893219,13,281.7106781,25,281.7106781,13,140.2893219
980,1.5037E+12,1,1,4,2,-4,-4,2,0,2.866057521,0.25,-4,4,2.692582404,2+0j,7.121320343559643-6.949747468305833j,-9+5j,2.878679656440357-2.9497474683058327j,4+0j,2.878679656440357+2.9497474683058327j,-9-5j,7.121320343559643+6.949747468305833j,4,99.01219331,106,16.98780669,16,16.98780669,106,99.01219331
981,1.5037E+12,4,6,1,-2,0,-1,1,-2,2.850438563,0.875,-2,6,2.80624304,7+0j,8.949747468305834-4.949747468305832j,2-9j,-0.9497474683058327-4.949747468305832j,5+0j,-0.9497474683058327+4.949747468305832j,2+9j,8.949747468305834+4.949747468305832j,49,104.5979797,85,25.40202025,25,25.40202025,85,104.5979797
982,1.5037E+12,3,-9,0,13,30,6,0,1,11.67414726,5.5,-9,30,12.22701926,44+0j,-46.09188309203678+2.12132034355964j,33+17j,-7.908116907963219+2.12132034355964j,22+0j,-7.908116907963219-2.12132034355964j,33-17j,-46.09188309203678-2.12132034355964j,1936,2128.961687,1378,67.03831303,484,67.03831303,1378,2128.961687
