,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
0,0,1503702810850,-3,-3,-2,-2,-1,-2,-1,-3
1,1,1503702810858,1,-2,0,0,1,-1,0,0
2,2,1503702810866,0,0,0,-1,-2,-1,0,0
3,3,1503702810891,1,0,-2,0,1,0,-1,-2
4,4,1503702810895,1,-2,-1,0,0,0,-1,-1
5,5,1503702810914,-1,-1,-2,-3,-1,-1,0,1
6,6,1503702810918,0,0,-3,-1,-1,-1,-3,-1
7,7,1503702810929,0,2,-1,0,-1,0,-2,-1
8,8,1503702810941,-2,-2,-1,-1,-1,-1,-1,-2
9,9,1503702810948,-2,-1,3,-2,0,0,1,1
10,10,1503702810955,-1,-1,-1,-2,-2,-1,1,-1
11,11,1503702810977,-1,0,-1,-1,-2,-1,-1,0
12,12,1503702810979,0,0,0,-1,1,-1,-1,0
13,13,1503702810986,-1,0,-1,0,0,-1,-2,-2
14,14,1503702811000,-1,0,1,0,-1,-1,0,-1
15,15,1503702811008,-1,-3,-1,0,2,-1,-1,0
16,16,1503702811015,0,-2,-2,-2,-1,-2,-2,-2
17,17,1503702811038,-2,-2,-2,-1,-2,-2,0,-2
18,18,1503702811046,-4,-4,-5,-1,-1,-1,-3,-4
19,19,1503702811060,-2,1,-2,0,1,0,-1,-2
20,20,1503702811068,1,-2,-2,-1,-1,0,-1,-1
21,21,1503702811075,-3,-5,-2,-2,-2,-1,-2,3
22,22,1503702811090,0,0,1,-1,-2,-2,-1,-1
23,23,1503702811098,2,0,0,-1,-2,-1,-2,-1
24,24,1503702811106,0,-2,1,0,-1,-2,-1,-3
25,25,1503702811120,-4,0,0,0,1,-1,0,-2
26,26,1503702811128,0,-3,1,0,1,0,0,0
27,27,1503702811136,1,0,1,-1,0,-2,0,2
28,28,1503702811150,1,0,-1,-2,-1,0,0,1
29,29,1503702811158,0,-3,-1,1,-1,-1,0,-2
30,30,1503702811168,0,2,-1,-2,1,-1,-2,-1
31,31,1503702811181,-3,-1,-1,-1,0,-2,-1,-1
32,32,1503702811188,0,1,1,-2,-1,0,0,-3
33,33,1503702811195,-2,-1,-3,-1,-2,-2,-2,-4
34,34,1503702811210,-2,-2,-1,1,0,-2,-3,-5
35,35,1503702811218,-1,-2,-2,-2,-2,-1,-1,-1
36,36,1503702811226,-1,-2,-1,0,-2,-1,-1,1
37,37,1503702811240,1,-1,1,2,1,1,2,1
38,38,1503702811248,-1,-3,-2,0,-1,0,0,0
39,39,1503702811255,2,2,1,-1,1,-1,0,0
40,40,1503702811271,1,0,-1,0,-1,-2,1,3
41,41,1503702811278,-2,0,-1,-3,0,0,-2,-3
