,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
0,0,1503705469695,-1,-4,-3,-1,0,-1,-1,-3
1,1,1503705469702,-2,-3,-2,-3,-1,-1,-2,-1
2,2,1503705469717,-1,-1,0,0,-2,1,-2,-2
3,3,1503705469724,0,2,0,0,-1,-1,-2,-3
4,4,1503705469740,0,-1,-1,-1,-2,-2,-3,1
5,5,1503705469747,-2,-3,-3,-3,-1,-2,-1,-3
6,6,1503705469755,-2,-1,-2,-1,-2,0,-2,-1
7,7,1503705469762,-1,-1,-1,0,-1,0,-2,-2
8,8,1503705469777,1,0,1,-1,0,-1,-1,0
9,9,1503705469784,0,0,0,-1,0,-1,1,1
10,10,1503705469800,-1,-1,0,1,-1,-1,1,1
11,11,1503705469807,4,-1,1,0,-1,-1,-1,2
12,12,1503705469815,1,1,-2,-1,0,-1,2,4
13,13,1503705469822,-2,-1,1,-2,-1,-1,3,2
14,14,1503705469837,7,2,-1,1,-1,-1,1,6
15,15,1503705469844,0,1,-1,-1,-3,-2,0,-1
16,16,1503705469867,-3,-3,-1,-2,0,-1,-2,-4
17,17,1503705469868,1,-2,0,0,0,2,-1,4
18,18,1503705469875,-4,-4,0,0,2,2,-1,-6
19,19,1503705469882,-4,-1,1,-1,0,0,-2,-3
20,20,1503705469898,-2,-2,-2,-1,-2,-4,-3,-3
21,21,1503705469905,4,3,0,0,0,-1,-1,-4
22,22,1503705469922,-4,-1,1,-2,-2,3,-1,-2
23,23,1503705469927,-2,0,-2,-1,0,0,-1,0
24,24,1503705469935,-2,1,0,-1,-2,-3,-2,-1
25,25,1503705469942,3,2,0,0,0,-1,1,4
26,26,1503705469958,1,0,0,-1,-2,-3,0,3
27,27,1503705469964,-3,-6,-6,-1,-3,0,-2,-2
28,28,1503705469980,0,1,-1,1,-2,-1,-1,1
29,29,1503705469989,-1,1,1,-1,-1,0,0,-1
30,30,1503705469995,-2,-2,-3,-2,0,0,1,0
31,31,1503705470002,-2,-1,0,-1,0,-2,-3,-4
32,32,1503705470017,3,2,2,0,-1,-1,-1,0
33,33,1503705470025,-2,-2,-3,-1,0,-1,-1,-1
34,34,1503705470040,-1,-1,-3,-2,-2,-1,-1,-4
35,35,1503705470047,-2,-1,1,0,-1,-3,-4,-7
36,36,1503705470055,-1,0,0,-1,0,-1,-3,-2
37,37,1503705470069,-1,-3,-2,-2,0,2,-2,-6
38,38,1503705470077,1,3,0,0,1,-3,-3,-8
39,39,1503705470084,-7,-3,-4,-3,-1,8,1,2
40,40,1503705470100,-4,-5,-3,-1,-3,-2,-2,-3
41,41,1503705470107,-5,-2,-1,-1,-1,-6,-4,-1
42,42,1503705470115,-4,-2,-1,0,-1,3,-2,1
43,43,1503705470130,1,-3,-2,-1,-1,-3,-1,2
44,44,1503705470138,-1,-3,-2,0,0,-4,-3,-3
45,45,1503705470144,2,2,1,0,-2,-5,1,-1
46,46,1503705470160,0,-5,-2,-2,-1,-2,2,1
47,47,1503705470167,2,-1,-2,-1,0,1,0,4
48,48,1503705470175,-1,1,-2,-2,0,3,0,2
49,49,1503705470189,-3,-1,-1,-1,-1,-3,-2,-4
50,50,1503705470197,-1,1,-1,0,1,0,0,-1
51,51,1503705470204,6,9,4,0,0,-3,3,9
52,52,1503705470222,-4,-5,-3,-4,-2,-1,-4,-5
53,53,1503705470227,-1,1,0,1,0,2,-1,-1
54,54,1503705470235,0,-1,0,-1,0,-2,0,2
55,55,1503705470249,-5,-8,-3,-3,-3,-2,-3,-6
56,56,1503705470257,-2,1,-1,-1,-3,-3,9,-4
57,57,1503705470264,-1,-3,-4,-2,-1,-2,1,2
58,58,1503705470280,1,-1,-1,-1,0,-1,-2,3
59,59,1503705470289,2,2,0,-1,-2,1,1,0
60,60,1503705470295,-3,-3,0,-2,-2,-1,-4,-3
61,61,1503705470309,-2,-1,0,0,0,-1,-1,-2
62,62,1503705470317,0,-2,-1,1,-1,0,0,1
63,63,1503705470325,-4,-2,-2,-3,-1,-4,-1,-3
64,64,1503705470340,-5,-2,0,-2,-1,1,1,2
65,65,1503705470347,1,1,1,2,0,0,-3,-8
66,66,1503705470362,6,5,2,-1,0,-1,-5,1
67,67,1503705470369,-3,0,0,-1,1,-1,0,1
68,68,1503705470384,0,-2,-3,-3,-2,-1,-3,-3
69,69,1503705470385,-2,2,0,0,1,7,-1,-3
70,70,1503705470400,4,3,1,0,1,-3,2,7
71,71,1503705470407,5,1,-2,-3,-3,-2,0,5
72,72,1503705470415,-6,-4,0,2,2,-1,-4,-13
73,73,1503705470429,-2,-1,-4,-3,-2,-1,-4,0
74,74,1503705470437,-4,-3,-2,-1,-1,0,-2,-2
75,75,1503705470444,0,-1,-1,-2,0,-1,-2,0
76,76,1503705470461,0,1,0,0,-2,-4,-6,-3
77,77,1503705470467,4,0,3,3,2,23,0,1
78,78,1503705470475,3,2,1,-1,0,2,2,0
79,79,1503705470491,2,2,0,3,2,0,0,-5
80,80,1503705470497,4,3,1,1,0,-2,-1,0
81,81,1503705470504,-6,-4,-3,-1,-2,-9,0,-4
82,82,1503705470520,-1,-4,-3,0,0,-3,1,0
83,83,1503705470527,-6,-7,-2,-1,-1,-5,-3,-14
84,84,1503705470535,-6,-5,-4,-2,0,12,-2,-4
85,85,1503705470549,-4,0,1,-1,-1,-8,-2,-3
86,86,1503705470558,-2,-1,1,-1,0,8,-3,-6
87,87,1503705470564,4,3,0,-1,-2,-2,1,2
88,88,1503705470580,-2,-2,-1,0,2,6,2,1
89,89,1503705470587,-2,-3,0,2,-2,8,-18,3
90,90,1503705470595,3,6,1,3,-1,-16,1,4
91,91,1503705470609,-4,-6,-6,-4,0,34,3,-5
92,92,1503705470617,-1,-2,-2,-2,-5,-22,9,2
93,93,1503705470625,-2,-4,-1,-2,-1,-7,-1,-3
94,94,1503705470640,1,-2,0,-2,-1,14,2,-3
95,95,1503705470647,-6,0,1,1,1,-18,4,-5
96,96,1503705470655,4,-2,-3,-1,-2,-15,-4,0
97,97,1503705470670,6,4,2,0,3,39,4,5
98,98,1503705470677,-18,2,1,1,0,6,-3,7
99,99,1503705470684,-7,-1,-1,0,-1,0,7,0
100,100,1503705470701,17,-2,-2,-3,-2,-4,-3,-5
101,101,1503705470707,41,3,1,-1,0,-23,-10,5
102,102,1503705470715,-29,4,3,1,2,6,-1,-2
103,103,1503705470730,-7,-1,-2,-1,-1,-11,2,1
104,104,1503705470737,10,1,-2,-3,-1,19,-4,1
105,105,1503705470744,-10,-2,0,0,-2,50,-14,0
106,106,1503705470761,-4,-5,-3,-1,-3,-2,-1,-2
107,107,1503705470768,5,5,0,1,2,3,8,13
108,108,1503705470775,11,1,0,-1,-1,-1,0,6
109,109,1503705470790,-8,-2,-2,0,-2,-25,0,-2
110,110,1503705470798,23,1,0,0,0,-15,-1,-1
111,111,1503705470804,-10,-7,-3,-2,-3,-18,0,-8
112,112,1503705470820,3,4,2,3,2,17,4,5
113,113,1503705470828,-12,-4,-3,-3,-1,-12,-2,-6
114,114,1503705470835,-31,-7,-2,-2,-1,-6,-2,3
115,115,1503705470849,-6,-5,-3,-4,-6,-17,0,-7
116,116,1503705470859,-7,-6,-1,0,-2,5,-6,-6
117,117,1503705470864,2,2,0,1,-4,-55,13,3
118,118,1503705470880,-5,-7,-7,-6,-3,-29,-11,-4
119,119,1503705470887,20,5,0,-2,0,17,-3,2
120,120,1503705470895,5,-1,0,-1,-4,-4,4,-5
121,121,1503705470909,17,4,2,-2,2,2,0,7
122,122,1503705470917,-16,-5,-4,-2,3,11,0,-1
123,123,1503705470930,-2,3,2,2,0,-1,-1,5
124,124,1503705470940,5,1,1,-1,-1,0,-1,-4
125,125,1503705470947,-11,-2,-2,-2,2,1,2,9
126,126,1503705470962,15,1,-1,0,-1,-3,0,2
127,127,1503705470969,8,4,3,3,0,10,-3,-2
128,128,1503705470977,-10,-1,0,-1,-2,-3,0,-1
129,129,1503705470994,1,2,1,-3,0,7,-1,2
130,130,1503705471000,-25,-3,0,2,0,13,-3,-4
131,131,1503705471007,-44,-7,-3,-1,0,-9,0,-5
