,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1047,1047,1503945990786,-16,-1,4,7,14,7,3,5
1048,1048,1503945990791,-3,-8,-6,-4,2,6,8,3
1049,1049,1503945990805,0,8,11,3,2,-4,-4,2
1050,1050,1503945990813,-11,-30,-30,-14,-3,-4,-5,-10
1051,1051,1503945990822,-1,2,6,3,2,7,5,10
1052,1052,1503945990836,24,10,-2,1,0,-3,-2,10
1053,1053,1503945990853,18,-4,1,1,5,-4,-1,-1
1054,1054,1503945990868,-41,-12,-2,1,-17,-4,-2,-3
1055,1055,1503945990873,-24,0,0,1,4,0,-2,-24
1056,1056,1503945990881,4,-7,-7,-1,-4,1,2,1
1057,1057,1503945990896,6,16,15,4,-1,-2,-5,8
1058,1058,1503945990904,17,2,14,0,-2,-3,-5,21
1059,1059,1503945990910,14,2,-2,-3,1,-3,-6,4
1060,1060,1503945990926,19,4,-10,-7,0,-3,-15,-52
1061,1061,1503945990933,1,3,6,3,2,-2,2,8
1062,1062,1503945990941,46,-1,-8,-3,2,13,1,31
1063,1063,1503945990956,-24,7,-2,0,1,-2,4,-5
1064,1064,1503945990964,0,-4,-3,-1,1,-7,6,23
1065,1065,1503945990970,-15,-3,-4,-2,0,-5,-9,-51
1066,1066,1503945990971,4,-5,-4,3,-2,12,8,36
1067,1067,1503945990987,4,-2,-3,1,-6,0,-4,-18
1068,1068,1503945990993,-54,-18,-5,1,4,8,-9,-29
1069,1069,1503945991001,-40,-3,0,-3,1,-5,4,-14
1070,1070,1503945991016,-19,3,4,0,2,23,0,-20
1071,1071,1503945991024,-27,9,8,3,2,-7,1,0
1072,1072,1503945991031,-47,-2,-2,0,1,0,-4,-12
1073,1073,1503945991046,-4,1,-7,-5,8,4,14,-1
1074,1074,1503945991054,36,-2,-3,-3,4,-6,-11,7
1075,1075,1503945991061,21,8,5,0,-5,-6,0,34
1076,1076,1503945991075,-4,0,-1,0,2,-10,-3,6
1077,1077,1503945991084,16,22,13,0,0,8,-1,5
1078,1078,1503945991092,-7,-20,16,4,-5,-7,-4,-45
1079,1079,1503945991105,37,-9,-11,-1,-4,-58,-6,-23
1080,1080,1503945991113,69,13,1,-4,-7,12,10,8
1081,1081,1503945991122,2,-3,2,8,6,14,-6,6
1082,1082,1503945991136,-6,-5,-11,-2,1,-8,0,16
1083,1083,1503945991144,-42,-11,-11,-7,-6,7,1,2
1084,1084,1503945991151,-16,15,11,0,0,7,7,23
1085,1085,1503945991166,-18,-10,-4,0,-2,1,-7,-16
1086,1086,1503945991173,-7,13,29,8,2,-5,-9,-13
1087,1087,1503945991181,16,-5,-12,-5,3,19,1,0
1088,1088,1503945991196,40,5,-8,-4,-1,-3,0,-2
1089,1089,1503945991204,-92,-16,-9,-3,-1,3,-2,-44
1090,1090,1503945991210,-12,-9,-12,-5,-7,-8,-4,8
1091,1091,1503945991226,-8,-5,0,1,-4,7,-3,6
1092,1092,1503945991233,8,8,4,2,-3,-12,5,-2
1093,1093,1503945991241,-2,-18,-11,-2,-2,-5,-12,-25
1094,1094,1503945991256,-56,35,8,1,2,-3,-4,-76
1095,1095,1503945991264,-12,1,8,2,-2,-4,-1,-3
1096,1096,1503945991270,77,-14,-7,0,0,4,1,15
1097,1097,1503945991286,24,-4,10,4,2,-1,4,2
1098,1098,1503945991293,29,6,-3,-4,-1,-3,1,35
1099,1099,1503945991301,82,-7,-9,-4,1,-3,3,21
1100,1100,1503945991324,31,-2,-11,-5,-5,-10,-3,-30
1101,1101,1503945991325,0,49,44,8,3,1,-5,-14
1102,1102,1503945991331,-23,-30,-25,-4,0,3,-1,6
1103,1103,1503945991346,-11,-7,-12,-4,-3,4,4,10
1104,1104,1503945991353,-22,-3,-1,-1,-5,5,1,49
1105,1105,1503945991362,21,12,-4,-4,-7,-4,-1,15
1106,1106,1503945991376,-47,2,-12,1,26,0,2,2
1107,1107,1503945991384,-16,3,0,-1,0,-4,-2,14
1108,1108,1503945991392,-5,8,-7,-3,-7,1,3,-8
1109,1109,1503945991406,-3,-3,-12,-3,-2,-2,-2,-8
1110,1110,1503945991413,12,1,-1,1,-2,-1,-1,10
1111,1111,1503945991423,12,-7,-6,-1,-2,2,6,11
1112,1112,1503945991435,-6,-16,0,-4,-6,-16,-2,-3
1113,1113,1503945991443,34,17,26,7,4,3,-1,7
1114,1114,1503945991458,17,-4,2,-1,-1,7,-2,-3
1791,1791,1503945998143,8,0,2,2,-1,-1,-5,-6
1792,1792,1503945998155,-13,0,13,7,1,2,3,26
1793,1793,1503945998162,9,1,-4,-2,-2,-4,2,13
1794,1794,1503945998171,18,5,-6,-4,-5,-1,-2,-11
1795,1795,1503945998184,-13,0,0,-2,-22,-8,-12,-4
1796,1796,1503945998192,-4,0,1,3,2,3,4,-3
1797,1797,1503945998200,-4,1,-4,-7,16,0,-5,-13
1798,1798,1503945998215,-8,-6,-5,-2,-11,-93,-12,-4
1799,1799,1503945998222,12,0,0,-1,-3,1,0,5
1800,1800,1503945998230,15,-1,-2,-1,7,16,-4,-8
1801,1801,1503945998244,-8,4,1,3,3,-7,5,-15
1802,1802,1503945998252,38,-1,-8,-4,-2,23,5,-7
1803,1803,1503945998260,-19,-16,-7,-5,-3,3,0,-11
1804,1804,1503945998275,-6,-3,-2,-1,-4,6,6,-4
1805,1805,1503945998282,11,2,0,0,6,2,0,-1
1806,1806,1503945998290,-8,-4,-2,-3,0,12,-2,2
1807,1807,1503945998305,-12,-2,1,4,-10,-6,2,1
1808,1808,1503945998313,-15,-3,-1,0,-2,8,-2,-9
1809,1809,1503945998320,17,2,0,-6,35,0,-2,3
1810,1810,1503945998335,0,3,-1,-2,6,16,-1,-3
1811,1811,1503945998343,-34,-12,-4,1,0,10,-4,-9
1812,1812,1503945998351,-30,9,-4,-4,-1,0,-3,-6
1813,1813,1503945998364,12,-8,4,1,-6,8,6,9
1814,1814,1503945998373,-33,-5,3,2,3,18,-4,-6
1815,1815,1503945998374,5,-11,-11,-4,-13,-47,1,-3
1816,1816,1503945998380,-13,5,-1,-1,-7,-5,-2,-2
1817,1817,1503945998395,11,1,3,-2,8,17,-5,14
1818,1818,1503945998402,41,5,0,-2,-5,-6,0,-4
1819,1819,1503945998410,-43,-2,1,0,24,29,-1,0
1820,1820,1503945998425,-13,-12,-3,5,0,8,4,7
1821,1821,1503945998432,63,-1,3,1,-1,27,-2,-8
1822,1822,1503945998433,-30,-2,-6,-3,-8,-44,0,4
1823,1823,1503945998441,27,12,22,4,-1,4,3,24
1824,1824,1503945998455,14,-3,-2,-2,-7,9,-1,2
1825,1825,1503945998462,2,0,-14,-6,-8,-10,-1,4
1826,1826,1503945998474,-6,9,14,1,-8,5,-8,-14
1827,1827,1503945998485,64,26,10,5,1,9,3,5
1828,1828,1503945998493,-4,-14,-10,0,-5,-25,4,-3
1829,1829,1503945998500,-28,-14,19,4,-2,-6,0,-6
1830,1830,1503945998522,24,2,-5,-1,-1,0,15,-7
1831,1831,1503945998523,-25,3,-9,-4,-1,-7,-2,-33
1832,1832,1503945998540,-14,4,8,2,-2,36,-10,-12
1833,1833,1503945998545,5,-3,-15,-3,-4,8,0,11
1834,1834,1503945998553,39,-5,1,4,-1,-5,-1,-1
