,Start,End,Ignored
0,840.0,946.6666666666666,1
1,1676.6666666666667,1776.6666666666667,2
2,2236.6666666666665,2366.6666666666665,3
3,2936.6666666666665,3143.3333333333335,4
4,3700.0,3880.0,1
5,4533.333333333333,4856.666666666667,2
6,5696.666666666667,5940.0,3
7,6856.666666666667,7063.333333333333,4
8,7676.666666666667,7950.0,1
9,9023.333333333334,9170.0,2
10,10196.666666666666,10353.333333333334,3
11,10913.333333333334,11076.666666666666,4
12,11686.666666666666,11886.666666666666,1
13,12543.333333333334,12670.0,2
14,13770.0,14073.333333333334,3
15,15070.0,15276.666666666666,4
16,16063.333333333334,16246.666666666666,1
17,16906.666666666668,17200.0,2
18,18333.333333333332,18506.666666666668,3
19,19310.0,19620.0,4
20,20276.666666666668,20453.333333333332,1
21,21296.666666666668,21410.0,2
22,22426.666666666668,22653.333333333332,3
23,23513.333333333332,23750.0,4
24,24360.0,24610.0,1
25,24970.0,25480.0,2
26,26563.333333333332,26810.0,3
27,27756.666666666668,28090.0,4
28,28933.333333333332,29153.333333333332,1
29,29650.0,30026.666666666668,2
30,31020.0,31356.666666666668,3
31,32256.666666666668,32473.333333333332,4
32,33503.333333333336,33606.666666666664,1
33,34410.0,34580.0,2
34,35796.666666666664,36046.666666666664,3
35,36643.333333333336,36813.333333333336,4
36,37646.666666666664,37780.0,1
37,38433.333333333336,38616.666666666664,2
38,40180.0,40346.666666666664,3
39,41370.0,41666.666666666664,4
