,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
874,874,1503600479997,69,61,24,4,-3,-2,-15,26
875,875,1503600480013,6,-18,5,-1,-3,-9,4,5
876,876,1503600480020,-10,2,-1,-1,8,23,13,-3
877,877,1503600480028,-2,8,5,-9,-8,-22,-5,-19
878,878,1503600480035,-13,-16,-4,-3,-9,-14,-6,-13
879,879,1503600480051,-25,-4,-10,-1,-7,-17,-7,-6
880,880,1503600480057,44,-7,-17,-6,-4,-4,5,10
881,881,1503600480065,-5,-39,-19,-4,1,6,5,-6
882,882,1503600480079,-8,21,3,-1,1,-2,-6,4
883,883,1503600480080,9,-4,19,8,2,25,9,2
884,884,1503600480089,-32,3,-4,-1,0,17,-1,-26
885,885,1503600480095,24,19,-1,-3,-2,-20,9,30
886,886,1503600480110,-1,7,-10,1,4,-7,-9,6
887,887,1503600480120,1,9,-2,2,11,27,3,-1
888,888,1503600480125,8,4,7,10,9,25,-3,-16
889,889,1503600480142,-23,27,9,0,-4,-15,-10,-2
890,890,1503600480148,39,16,11,1,0,1,3,9
891,891,1503600480155,-33,34,33,4,2,0,3,-13
892,892,1503600480170,3,22,15,0,3,5,11,7
893,893,1503600480178,8,-50,-29,-10,-6,-5,-2,6
894,894,1503600480192,-14,-7,1,-12,-9,-14,-13,12
895,895,1503600480199,-2,-22,-1,-3,-1,9,2,-9
896,896,1503600480209,-23,-84,-49,-3,-2,-8,6,-9
897,897,1503600480215,19,-28,-16,-2,-6,-8,-2,-8
898,898,1503600480230,19,42,-1,-2,-4,-19,12,-3
899,899,1503600480237,-27,18,20,7,-2,-17,5,-7
900,900,1503600480246,6,69,28,5,2,4,-2,-3
901,901,1503600480259,4,2,17,5,4,-3,-9,-36
902,902,1503600480267,24,2,-12,-1,0,1,4,10
903,903,1503600480268,-6,-9,9,3,8,33,8,0
904,904,1503600480276,8,-21,-8,1,5,21,-5,-3
905,905,1503600480296,10,-17,-7,2,-1,0,16,-13
906,906,1503600480297,3,-6,-15,-8,-5,0,-6,9
907,907,1503600480313,-23,25,21,7,-4,-34,-4,-26
908,908,1503600480319,-20,-28,-25,-9,-7,-8,6,14
909,909,1503600480327,-28,-39,-17,-1,-2,-12,-7,-21
910,910,1503600480343,10,17,7,-1,-1,13,-11,-18
911,911,1503600480351,28,-48,-18,-5,-4,-1,-7,14
912,912,1503600480356,1,2,0,5,5,8,-2,-6
913,913,1503600480372,-8,-21,0,-2,-2,-5,0,-4
914,914,1503600480380,37,12,-7,0,-2,-8,-6,-24
