,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
887,887,1503599967625,37,5,-1,3,5,23,57,4
888,888,1503599967640,-20,42,41,10,8,17,-2,0
889,889,1503599967647,-35,-35,-5,-4,-3,-13,-12,-30
890,890,1503599967663,-26,2,2,5,-9,-47,6,9
891,891,1503599967670,4,23,9,-2,-16,-4,-33,-10
892,892,1503599967678,-1,-21,-16,0,12,10,1,3
893,893,1503599967685,9,42,41,13,11,-7,-22,-7
894,894,1503599967700,-31,0,-3,-7,-6,24,-6,11
895,895,1503599967707,0,-42,-32,-3,-4,13,-4,7
896,896,1503599967715,14,-58,-25,-9,-6,-21,14,-1
897,897,1503599967730,-39,25,-6,-9,-21,-42,-16,1
898,898,1503599967738,15,1,14,15,9,-14,-20,-53
899,899,1503599967745,25,0,-9,-3,-2,28,36,9
900,900,1503599967761,35,-35,-4,-11,-7,21,-7,3
901,901,1503599967767,-63,-73,-9,-2,15,-9,-21,-6
902,902,1503599967775,-35,-10,8,9,8,25,3,8
903,903,1503599967791,-7,-39,-12,-8,-13,-43,-14,-22
904,904,1503599967799,-30,57,14,-4,-4,5,-7,10
905,905,1503599967805,14,4,17,-4,7,67,0,13
906,906,1503599967820,7,-34,-18,-9,0,15,-6,-8
907,907,1503599967828,35,52,24,-3,-8,1,-8,-5
908,908,1503599967842,33,-12,-3,3,12,55,10,-25
909,909,1503599967850,-1,-30,-28,-3,-14,-11,-17,-7
910,910,1503599967858,-14,-8,0,-5,-16,-23,-1,8
911,911,1503599967866,-30,-24,-39,-13,-8,-28,-16,-12
912,912,1503599967880,-19,-13,4,3,7,14,-3,16
913,913,1503599967888,5,-41,7,1,1,-18,3,8
914,914,1503599967896,10,-7,-27,-14,-8,-23,-8,0
915,915,1503599967910,17,57,8,-1,-6,-40,9,12
916,916,1503599967918,-34,-29,-22,-12,-14,-21,-4,-14
917,917,1503599967926,7,83,36,9,1,7,-6,-3
918,918,1503599967941,40,38,1,-7,2,18,-17,15
919,919,1503599967948,-11,-26,-18,-5,3,10,4,5
920,920,1503599967955,44,6,16,1,-1,13,19,5
921,921,1503599967956,-30,-39,4,5,5,-5,-10,-6
922,922,1503599967970,40,55,2,1,6,5,3,10
923,923,1503599967978,14,66,62,10,-5,-37,-2,-10
924,924,1503599967985,-68,15,19,0,-3,-39,-1,-46
925,925,1503599968001,-49,-20,16,1,-22,-11,6,-14
926,926,1503599968007,35,14,12,10,18,41,4,20
927,927,1503599968015,-33,5,-18,-8,-2,-13,15,-4
928,928,1503599968031,-33,45,49,8,-4,22,19,5
929,929,1503599968038,54,-1,-28,-9,-14,-65,-14,5
930,930,1503599968045,19,-37,-25,-5,-2,3,1,12
931,931,1503599968061,36,65,16,8,10,16,8,8
932,932,1503599968067,30,90,64,17,1,-7,-10,1
933,933,1503599968075,-10,-49,-33,-8,2,23,-3,10
934,934,1503599968092,47,-33,-23,-5,3,23,1,15
935,935,1503599968099,26,4,11,11,27,90,2,7
936,936,1503599968105,-43,-50,-23,-4,-16,-33,11,-15
937,937,1503599968120,-29,-3,-5,0,0,-15,-11,-8
938,938,1503599968128,22,-7,-17,0,8,6,-8,-5
939,939,1503599968135,-2,-6,-13,-6,-13,4,30,6
940,940,1503599968150,-49,-75,-35,-9,-4,-10,-15,-1
941,941,1503599968159,60,3,13,0,-4,-5,7,13
942,942,1503599968165,-2,-33,-22,-8,1,9,14,-19
943,943,1503599968180,-4,-4,-12,-17,2,9,-11,-16
944,944,1503599968187,-55,29,-18,-8,0,37,2,28
945,945,1503599968195,43,-9,2,2,-6,-60,8,10
946,946,1503599968210,22,7,-7,-2,7,23,-7,-3
947,947,1503599968218,-13,-7,-3,-2,-12,-54,-7,-20
948,948,1503599968227,47,40,-2,4,7,25,11,7
