,Start,End,Ignored
0,886.6666666666666,1026.6666666666667,1
1,1430.0,1773.3333333333333,2
2,2666.6666666666665,2910.0,3
3,4113.333333333333,4206.666666666667,4
4,5460.0,5626.666666666667,1
5,6613.333333333333,6770.0,2
6,7543.333333333333,7666.666666666667,3
7,8643.333333333334,8790.0,4
8,9850.0,10150.0,1
9,11223.333333333334,11446.666666666666,2
10,12560.0,12750.0,3
11,14053.333333333334,14256.666666666666,4
12,15386.666666666666,15620.0,1
13,16620.0,16766.666666666668,2
14,17713.333333333332,17850.0,3
15,18740.0,18876.666666666668,4
16,19850.0,19970.0,1
17,20843.333333333332,20986.666666666668,2
18,22123.333333333332,22283.333333333332,3
19,23146.666666666668,23340.0,4
20,24240.0,24376.666666666668,1
21,25250.0,25450.0,2
22,26273.333333333332,26466.666666666668,3
23,27113.333333333332,27316.666666666668,4
24,28173.333333333332,28340.0,1
25,29003.333333333332,29193.333333333332,2
26,30233.333333333332,30426.666666666668,3
27,31436.666666666668,31783.333333333332,4
28,32800.0,33000.0,1
29,33686.666666666664,33796.666666666664,2
30,34496.666666666664,34663.333333333336,3
31,35396.666666666664,35603.333333333336,4
32,36323.333333333336,36523.333333333336,1
33,37130.0,37406.666666666664,2
34,38093.333333333336,38256.666666666664,3
35,38860.0,38993.333333333336,4
36,39990.0,40150.0,1
37,41083.333333333336,41250.0,2
38,41933.333333333336,42036.666666666664,3
39,42710.0,42870.0,4
