SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,STD_DEV,MEAN,MIN,MAX,RMS,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,AMP_FFT1,AMP_FFT2,AMP_FFT3,AMP_FFT4,AMP_FFT5,AMP_FFT6,AMP_FFT7,AMP_FFT8
874,1503600479997,69,61,24,4,-3,-2,-15,26,30.76640097,20.5,-15,69,35.33411949,164+0j,132.10407640085654-67.99137802864844j,57-29j,11.895923599143458+10.008621971351555j,-14+0j,11.895923599143458-10.008621971351555j,57+29j,132.10407640085654+67.99137802864844j,26896,22074.31449,4090,241.685512,196,241.685512,4090,22074.31449
875,1503600480013,6,-18,5,-1,-3,-9,4,5,8.467374361,-1.375,-18,6,8.038967595,-11+0j,6.878679656440356+9.606601717798213j,-6+31j,11.121320343559644+11.606601717798213j,35+0j,11.121320343559644-11.606601717798213j,-6-31j,6.878679656440356-9.606601717798213j,121,139.6030304,997,258.3969696,1225,258.3969696,997,139.6030304
876,1503600480020,-10,2,-1,-1,8,23,13,-3,10.39831717,3.875,-10,23,10.4701958,31+0j,-34.2634559672906+27.4350288425444j,-14-29j,-1.736544032709407-0.5649711574555987j,-11+0j,-1.736544032709407+0.5649711574555987j,-14+29j,-34.2634559672906-27.4350288425444j,961,1926.665222,1037,3.334777586,121,3.334777586,1037,1926.665222
877,1503600480028,-2,8,5,-9,-8,-22,-5,-19,10.48808848,-6.5,-22,8,11.7686023,-52+0j,20.14213562373095-38.2842712474619j,-10-14j,-8.142135623730951-18.2842712474619j,32+0j,-8.142135623730951+18.2842712474619j,-10+14j,20.14213562373095+38.2842712474619j,2704,1871.391052,296,400.6089476,1024,400.6089476,296,1871.391052
878,1503600480035,-13,-16,-4,-3,-9,-14,-6,-13,4.949747468,-9.75,-16,-3,10.79351657,-78+0j,-12.48528137423857-7.656854249492381j,-12+14j,4.4852813742385695-3.6568542494923806j,14+0j,4.4852813742385695+3.6568542494923806j,-12-14j,-12.48528137423857+7.656854249492381j,6084,214.509668,340,33.49033201,196,33.49033201,340,214.509668
879,1503600480051,-25,-4,-10,-1,-7,-17,-7,-6,7.781617533,-9.625,-25,-1,12.06751839,-77+0j,-12.343145750507619-9.727922061357855j,-15+14j,-23.656854249492383-15.727922061357855j,-21+0j,-23.656854249492383+15.727922061357855j,-15-14j,-12.343145750507619+9.727922061357855j,5929,246.9857147,421,807.0142853,441,807.0142853,421,246.9857147
880,1503600480057,44,-7,-17,-6,-4,-4,5,10,18.56215428,2.625,-17,44,17.56060933,21+0j,57.19238815542512+35.435028842544405j,52+15j,38.80761184457488-8.564971157455597j,35+0j,38.80761184457488+8.564971157455597j,52-15j,57.19238815542512-35.435028842544405j,441,4526.610532,2929,1579.389468,1225,1579.389468,2929,4526.610532
881,1503600480065,-5,-39,-19,-4,1,6,5,-6,14.90865041,-7.625,-39,6,15.89418133,-61+0j,-39.23401871576773+54.40559159102154j,10+23j,27.234018715767732+6.40559159102154j,25+0j,27.234018715767732-6.40559159102154j,10-23j,-39.23401871576773-54.40559159102154j,3721,4499.276621,629,782.723379,625,782.723379,629,4499.276621
882,1503600480079,-8,21,3,-1,1,-2,-6,4,8.89622713,1.5,-8,21,8.455767263,12+0j,10.79898987322333-21.727922061357855j,-4-16j,-28.79898987322333-3.727922061357855j,-32+0j,-28.79898987322333+3.727922061357855j,-4+16j,10.79898987322333+21.727922061357855j,144,588.7207794,272,843.2792206,1024,843.2792206,272,588.7207794
883,1503600480080,9,-4,19,8,2,25,9,2,9.43776608,8.75,-4,25,12.42980289,70+0j,-17.748737341529164+6.263455967290589j,-17-11j,31.748737341529164+26.26345596729059j,8+0j,31.748737341529164-26.26345596729059j,-17+11j,-17.748737341529164-6.263455967290589j,4900,354.2485579,410,1697.751442,64,1697.751442,410,354.2485579
