,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
0,0,1503514028877,1,0,-1,0,-1,1,-2,-1
1,1,1503514028883,0,1,-1,0,-1,1,-1,-1
2,2,1503514028892,-1,0,1,-1,0,0,0,0
3,3,1503514028906,-1,0,-1,-1,-2,-1,0,1
4,4,1503514028914,1,0,1,1,1,1,2,0
5,5,1503514028922,0,-3,-2,-3,-1,-1,1,2
6,6,1503514028944,-1,-2,1,0,1,1,0,-4
7,7,1503514028954,-2,-2,-2,-3,-1,0,-4,-4
8,8,1503514028966,-1,-1,-2,-1,-1,-1,-1,-4
9,9,1503514028974,-1,0,1,-1,-2,0,0,-3
10,10,1503514028982,-2,-1,0,0,0,-3,-1,2
11,11,1503514028997,-1,-1,0,-2,-2,0,-1,2
12,12,1503514029003,1,1,1,0,-2,-1,1,0
13,13,1503514029011,-1,-1,-2,-2,0,-2,-3,-3
14,14,1503514029026,-1,0,0,-1,-1,-1,-2,0
15,15,1503514029034,-2,-2,0,0,-1,-4,-1,-7
16,16,1503514029041,-1,0,0,-1,-1,0,-1,2
17,17,1503514029057,0,1,-2,0,-1,0,-3,-3
18,18,1503514029063,-1,1,-2,-1,0,-2,-2,-4
19,19,1503514029073,2,0,-1,0,0,-1,1,2
20,20,1503514029086,-1,-1,1,-1,-1,0,-2,-5
21,21,1503514029094,1,-1,-1,-2,-1,-1,-1,2
22,22,1503514029101,-2,-3,-3,-2,-2,-1,-1,-1
23,23,1503514029102,1,-1,-2,-1,-1,1,0,0
24,24,1503514029117,-2,-1,-1,0,-2,1,-1,0
25,25,1503514029123,0,-2,-1,-1,0,-1,1,3
26,26,1503514029132,-1,0,-3,-1,-1,-1,2,0
27,27,1503514029146,-1,-3,-2,-2,0,-1,0,0
28,28,1503514029154,-1,-2,-1,1,0,0,0,1
29,29,1503514029162,-1,-3,-3,0,-1,0,-1,-1
30,30,1503514029176,-1,-1,1,0,-1,-2,-3,-4
31,31,1503514029185,-2,-2,-2,1,0,0,-1,-3
32,32,1503514029199,-2,0,1,-1,-2,-1,-1,-5
33,33,1503514029207,-1,-1,0,0,-2,-2,-2,-3
34,34,1503514029214,0,-5,-2,-2,-1,1,0,1
35,35,1503514029229,0,0,0,-1,-1,1,0,1
36,36,1503514029236,0,0,0,-2,0,-1,-2,0
37,37,1503514029244,-2,-6,-1,-2,-1,-2,0,-3
38,38,1503514029259,1,1,-1,0,-2,-1,0,1
39,39,1503514029267,-1,0,1,0,0,0,1,0
40,40,1503514029274,0,-1,1,-2,-1,-1,1,0
41,41,1503514029290,-1,0,-1,0,0,-1,-1,2
42,42,1503514029296,0,0,0,-1,0,1,1,2
43,43,1503514029297,0,0,-2,-1,1,0,-1,0
44,44,1503514029304,0,-1,-1,0,-1,0,-1,0
45,45,1503514029319,0,1,0,0,0,-1,1,0
46,46,1503514029327,-1,-1,-1,1,0,-1,-2,0
47,47,1503514029334,1,0,-1,-1,0,-2,0,1
48,48,1503514029351,1,0,-1,0,-2,-2,-2,-1
49,49,1503514029357,0,1,0,1,0,1,-1,0
50,50,1503514029364,-3,1,1,1,0,-1,-1,-6
51,51,1503514029365,-1,2,0,-1,0,-1,-1,2
52,52,1503514029379,0,-1,-1,-1,-3,0,-1,-1
53,53,1503514029387,-2,-2,-2,-1,-3,0,-1,1
54,54,1503514029394,-3,-3,-1,1,-1,-2,-2,-2
55,55,1503514029410,2,1,-2,0,-2,0,-1,-2
56,56,1503514029419,-4,-2,-1,-2,-2,-2,-1,-2
57,57,1503514029425,-1,-2,-1,-2,1,-2,1,-1
58,58,1503514029439,0,1,0,-1,0,0,0,-1
59,59,1503514029447,-2,-3,-3,-2,-3,0,-2,-1
60,60,1503514029454,-1,0,0,0,2,-2,-2,-2
61,61,1503514029469,3,0,0,1,-1,0,1,3
62,62,1503514029470,1,0,-1,1,0,-1,0,2
63,63,1503514029476,-1,-2,-3,-2,-1,-1,-1,0
64,64,1503514029487,-2,-3,1,-1,2,-1,-1,2
65,65,1503514029500,1,0,-2,0,-3,-1,0,2
66,66,1503514029507,0,0,-1,0,0,0,-2,-3
67,67,1503514029516,-1,-1,-1,0,-3,-2,-3,1
68,68,1503514029529,1,-1,-3,0,-3,-1,-1,-1
69,69,1503514029530,1,-1,0,-1,0,-3,-3,-3
70,70,1503514029536,-3,-1,0,0,1,0,0,0
71,71,1503514029553,0,0,0,-1,-1,0,0,1
72,72,1503514029559,1,-1,1,-1,-1,0,-1,0
73,73,1503514029567,-6,-2,-1,-2,0,1,-4,-10
