,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1057,1057,1503612771643,4,-9,-3,3,1,-6,-16,3
1058,1058,1503612771651,0,32,12,3,2,1,-8,-3
1059,1059,1503612771658,-1,-5,2,5,5,1,6,10
1060,1060,1503612771659,-14,30,13,2,-2,2,-5,-10
1061,1061,1503612771665,1,-17,-8,-4,0,0,1,1
1062,1062,1503612771681,4,18,8,6,-2,-6,12,7
1063,1063,1503612771689,0,-16,-7,0,14,5,5,-3
1064,1064,1503612771696,2,7,0,0,2,-1,12,-1
1065,1065,1503612771710,-2,3,2,0,-7,-7,-4,2
1066,1066,1503612771718,10,57,15,2,1,3,4,2
1067,1067,1503612771725,0,-4,-5,-1,5,9,1,-2
1068,1068,1503612771741,-4,-31,-16,-7,-8,-6,-1,-5
1069,1069,1503612771748,-7,2,1,-5,13,11,-2,-8
1070,1070,1503612771764,2,4,3,-4,-14,-9,-3,4
1071,1071,1503612771771,-1,-9,-2,-1,-19,-7,11,5
1072,1072,1503612771778,0,4,-3,-3,20,6,1,1
1073,1073,1503612771779,3,-9,-6,-3,2,2,2,1
1074,1074,1503612771786,-1,-9,-5,-4,-3,-9,-11,-7
1075,1075,1503612771801,-9,6,4,4,4,-1,-6,2
1076,1076,1503612771808,9,-6,-6,-1,-3,-3,4,1
1077,1077,1503612771816,1,-8,-3,-2,14,2,17,4
1078,1078,1503612771831,1,2,1,1,3,-1,-1,-1
1079,1079,1503612771839,-3,-2,0,-3,-7,2,0,-2
1080,1080,1503612771845,-1,13,6,0,-8,-5,-4,-3
1081,1081,1503612771861,0,-12,-3,-2,0,0,-7,2
1082,1082,1503612771868,-8,13,10,1,1,8,-1,-4
1083,1083,1503612771876,2,-2,-1,-1,-11,-3,-7,-2
1084,1084,1503612771891,3,-4,-3,-1,-7,-3,-2,2
1085,1085,1503612771898,-3,-4,1,-1,11,-2,-1,1
1086,1086,1503612771905,-2,-3,-7,-9,5,-4,9,-2
1087,1087,1503612771921,1,-2,-1,-1,0,-4,-6,0
1088,1088,1503612771928,-5,-3,1,5,3,1,-4,4
1089,1089,1503612771936,-5,4,0,1,-1,6,2,-5
1090,1090,1503612771951,-1,0,6,5,-14,-7,-7,-2
1091,1091,1503612771959,-3,-14,1,4,19,9,32,7
1092,1092,1503612771966,-9,-19,-5,0,-7,-3,3,0
1093,1093,1503612771983,-3,6,6,0,-6,1,-4,-4
1094,1094,1503612771988,-1,-3,-4,-3,-7,-3,2,-1
1095,1095,1503612772003,4,-7,-5,-3,-1,-1,-6,1
1096,1096,1503612772010,-6,1,-1,0,-13,0,-10,-9
1097,1097,1503612772026,-2,6,-1,-2,-5,-7,-19,-10
1098,1098,1503612772033,6,4,0,1,7,-4,4,5
1099,1099,1503612772041,-4,1,-1,-1,-4,-6,4,-3
1100,1100,1503612772050,5,-12,-9,-2,-1,-1,-2,0
1101,1101,1503612772063,0,10,3,-4,-7,-4,-14,-11
1102,1102,1503612772070,0,-8,-2,3,11,4,-6,1
1103,1103,1503612772078,-18,1,-4,-2,-7,-4,-10,-2
1104,1104,1503612772093,-2,-2,0,-1,-3,-2,-7,-5
1105,1105,1503612772101,8,-13,-4,1,-3,3,2,-4
1106,1106,1503612772108,-1,9,-3,-3,8,1,-2,3
1107,1107,1503612772124,-15,6,7,3,0,-5,4,56
1108,1108,1503612772130,16,1,-3,-2,0,-2,-1,-5
1109,1109,1503612772139,13,3,-1,-1,4,6,12,29
1110,1110,1503612772154,-4,-14,-2,-3,31,7,7,0
1111,1111,1503612772161,2,6,0,1,-5,-11,-38,-18
1112,1112,1503612772168,3,15,6,1,-32,-10,6,-9
1113,1113,1503612772185,-14,38,16,2,5,6,-2,-19
1114,1114,1503612772191,-1,-3,2,3,-7,-1,1,43
1115,1115,1503612772198,11,-1,-5,-2,-7,-5,9,-24
1116,1116,1503612772213,-7,-2,-3,0,13,-1,4,8
1117,1117,1503612772221,0,-11,-6,-4,-6,-10,-4,-5
1118,1118,1503612772228,-7,-3,-3,-3,-1,0,15,-2
1119,1119,1503612772243,-5,-6,-3,1,3,-1,10,-4
1120,1120,1503612772251,-3,-1,-1,-1,17,0,-9,-4
1121,1121,1503612772259,2,-7,-2,-4,-1,13,13,9
1122,1122,1503612772273,3,-11,-4,-5,-21,-3,1,-16
1123,1123,1503612772281,3,-11,-3,0,4,-8,-40,-7
1124,1124,1503612772288,1,-7,-2,-2,-2,0,-14,29
1125,1125,1503612772303,12,13,7,3,-8,7,-8,-10
1126,1126,1503612772310,-16,5,1,-2,-8,-6,4,7
1127,1127,1503612772320,-4,30,14,2,-13,-1,5,-1
1128,1128,1503612772333,7,2,-2,0,-3,3,6,7
1129,1129,1503612772341,-11,-17,-5,-1,-4,-4,3,-23
1130,1130,1503612772348,9,8,5,3,0,0,1,0
1131,1131,1503612772363,5,-9,-3,0,-3,1,11,2
1132,1132,1503612772370,-2,-7,-2,2,-12,-4,-11,-20
1133,1133,1503612772378,-9,-18,-10,-6,2,-2,-3,-8
1134,1134,1503612772393,-3,1,-3,0,9,3,6,-10
