SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,STD_DEV,MEAN,MIN,MAX,RMS,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,AMP_FFT1,AMP_FFT2,AMP_FFT3,AMP_FFT4,AMP_FFT5,AMP_FFT6,AMP_FFT7,AMP_FFT8
867,1.50368E+12,-9,37,25,1,6,-1,-3,-4,16.03567451,6.5,-9,37,16.34778272,52+0j,8.334523779156068-58.40559159102154j,-25-39j,-38.33452377915607-2.4055915910215404j,-14+0j,-38.33452377915607+2.4055915910215404j,-25+39j,8.334523779156068+58.40559159102154j,2704,3480.677416,2146,1475.322584,196,1475.322584,2146,3480.677416
868,1.50368E+12,9,-1,-10,-2,-20,-3,-3,0,8.379396501,-3.75,-20,9,8.689073598,-30+0j,31.82842712474619+7j,2+2j,26.17157287525381-7j,-18+0j,26.17157287525381+7j,2-2j,31.82842712474619-7j,900,1062.048773,8,733.9512268,324,733.9512268,8,1062.048773
869,1.50368E+12,-5,-7,-4,0,-5,0,-2,-1,2.618614683,-3,-7,0,3.872983346,-24+0j,-5.65685424949238+6.242640687119284j,-4+6j,5.65685424949238+2.242640687119284j,-8+0j,5.65685424949238-2.242640687119284j,-4-6j,-5.65685424949238-6.242640687119284j,576,70.97056275,52,37.02943725,64,37.02943725,52,70.97056275
870,1.50368E+12,-11,-33,12,4,-3,-1,-2,-3,13.21187237,-4.625,-33,12,13.19564322,-37+0j,-35.577164466275356+3.677669529663685j,-24+35j,19.577164466275356+31.677669529663685j,29+0j,19.577164466275356-31.677669529663685j,-24-35j,-35.577164466275356-3.677669529663685j,1369,1279.259885,1801,1386.740115,841,1386.740115,1801,1279.259885
871,1.50368E+12,-10,-12,-5,-3,-4,-1,0,-2,4.274091382,-4.625,-12,0,6.11350963,-37+0j,-13.071067811865476+13.48528137423857j,-9+8j,1.0710678118654755+3.4852813742385695j,-1+0j,1.0710678118654755-3.4852813742385695j,-9-8j,-13.071067811865476-13.48528137423857j,1369,352.7056275,145,13.29437252,1,13.29437252,145,352.7056275
872,1.50368E+12,7,14,3,-4,1,0,-2,-1,5.8002463,2.25,-4,14,5.873670062,18+0j,18.020815280171306-12.778174593052022j,7-19j,-6.020815280171307-2.7781745930520207j,0j,-6.020815280171307+2.7781745930520207j,7+19j,18.020815280171306+12.778174593052022j,324,488.0315293,410,43.96847071,0,43.96847071,410,488.0315293
873,1.50368E+12,15,-2,-7,0,4,-2,-11,-1,7.727501906,-0.5,-11,15,7.245688373,-4+0j,10.292893218813452-4.707106781186548j,37+3j,11.707106781186548+3.2928932188134525j,6+0j,11.707106781186548-3.2928932188134525j,37-3j,10.292893218813452+4.707106781186548j,16,128.1005051,1378,147.8994949,36,147.8994949,1378,128.1005051
874,1.50368E+12,0,-23,-12,-4,0,2,-3,-6,8.224527776,-5.75,-23,2,9.604686356,-46+0j,-19.091883092036785+25.26345596729059j,15+11j,19.091883092036785+7.263455967290589j,16+0j,19.091883092036785-7.263455967290589j,15-11j,-19.091883092036785-25.26345596729059j,2116,1002.742207,346,417.2577926,256,417.2577926,346,1002.742207
875,1.50368E+12,3,31,-4,-3,-2,0,0,-4,11.71003843,2.625,-4,31,11.26388033,21+0j,26.21320343559643-18.62741699796952j,5-38j,-16.21320343559643-26.62741699796952j,-27+0j,-16.21320343559643+26.62741699796952j,5+38j,26.21320343559643+18.62741699796952j,441,1034.112698,1469,971.8873016,729,971.8873016,1469,1034.112698
876,1.50368E+12,4,12,7,-1,-5,1,0,0,5.284748947,2.25,-5,12,5.431390246,18+0j,17.48528137423857-14.071067811865474j,-8-14j,0.5147186257614287-0.07106781186547373j,-6+0j,0.5147186257614287+0.07106781186547373j,-8+14j,17.48528137423857+14.071067811865474j,324,503.7300141,260,0.269985898,36,0.269985898,260,503.7300141
877,1.50368E+12,-4,-11,-7,-6,-7,-5,-8,-11,2.55999442,-7.375,-11,-4,7.75403121,-59+0j,-4.778174593052023-0.292893218813453j,4-1j,10.778174593052023+1.707106781186547j,7+0j,10.778174593052023-1.707106781186547j,4+1j,-4.778174593052023+0.292893218813453j,3481,22.91673888,17,119.0832611,49,119.0832611,17,22.91673888
878,1.50368E+12,-11,-26,-17,-5,-3,-1,3,1,9.970492179,-7.375,-26,3,11.89012195,-59+0j,-21.435028842544405+41.92031021678297j,23j,5.435028842544405+1.9203102167829726j,3+0j,5.435028842544405-1.9203102167829726j,-23j,-21.435028842544405-41.92031021678297j,3481,2216.77287,529,33.22712985,9,33.22712985,529,2216.77287
879,1.50368E+12,4,25,11,-3,-13,2,4,4,10.89888592,4.25,-13,25,11.04536102,34+0j,38.21320343559643-18.31370849898476j,-24-26j,-4.2132034355964265-4.313708498984759j,-22+0j,-4.2132034355964265+4.313708498984759j,-24+26j,38.21320343559643+18.31370849898476j,1156,1795.640836,1252,36.3591642,484,36.3591642,1252,1795.640836
880,1.50368E+12,6,-2,1,-1,-23,-4,-1,-1,8.542958671,-3.125,-23,6,8.580501151,-25+0j,30.414213562373096-3.414213562373095j,-17+4j,27.585786437626904+0.5857864376269051j,-9+0j,27.585786437626904-0.5857864376269051j,-17-4j,30.414213562373096+3.414213562373095j,625,936.6812409,305,761.3187591,81,761.3187591,305,936.6812409
881,1.50368E+12,-5,-11,-6,13,23,1,1,-4,11.21223821,1.5,-11,23,10.59481005,12+0j,-48.50609665440988+3.4644660940672605j,23+19j,-7.49390334559012-10.53553390593274j,14+0j,-7.49390334559012+10.53553390593274j,23-19j,-48.50609665440988-3.4644660940672605j,144,2364.843938,890,167.156062,196,167.156062,890,2364.843938
882,1.50368E+12,-1,3,1,-1,-1,-2,-3,0,1.8516402,-0.5,-3,3,1.802775638,-4+0j,4.242640687119286-6.82842712474619j,-2j,-4.242640687119286+1.1715728752538102j,-4+0j,-4.242640687119286-1.1715728752538102j,2j,4.242640687119286+6.82842712474619j,16,64.627417,4,19.372583,16,19.372583,4,64.627417
883,1.50368E+12,-4,-14,-9,-3,-6,-2,-8,-5,3.889087297,-6.375,-14,-2,7.339959128,-51+0j,-7.899494936611667+8.071067811865476j,7+8j,11.899494936611667+6.071067811865475j,-3+0j,11.899494936611667-6.071067811865475j,7-8j,-7.899494936611667-8.071067811865476j,2601,127.5441559,113,178.4558441,9,178.4558441,113,127.5441559
884,1.50368E+12,-3,20,3,2,21,2,-2,-6,10.25304833,4.625,-6,21,10.64776972,37+0j,-16.928932188134524-23.384776310850235j,17-26j,-31.071067811865476-13.384776310850235j,1+0j,-31.071067811865476+13.384776310850235j,17+26j,-16.928932188134524+23.384776310850235j,1369,833.4365081,965,1144.563492,1,1144.563492,965,833.4365081
885,1.50368E+12,-18,-5,-2,-6,-8,-1,1,-1,6.047431568,-5,-18,1,7.549834435,-40+0j,-9.292893218813454+9.363961030678928j,-25-1j,-10.707106781186546+3.3639610306789276j,-14+0j,-10.707106781186546-3.3639610306789276j,-25+1j,-9.292893218813454-9.363961030678928j,1600,174.0416306,626,125.9583694,196,125.9583694,626,174.0416306
886,1.50368E+12,19,23,18,3,1,-1,-1,0,10.31988372,7.75,-1,23,12.3794184,62+0j,32.849242404917504-38.09188309203678j,3-19j,3.1507575950824993-0.09188309203678102j,12+0j,3.1507575950824993+0.09188309203678102j,3+19j,32.849242404917504+38.09188309203678j,3844,2530.064284,370,9.935715926,144,9.935715926,370,2530.064284
887,1.50368E+12,6,10,9,3,7,2,3,2,3.195979617,5.25,2,10,6.041522987,42+0j,3.9497474683058336-12.363961030678928j,1-7j,-5.949747468305834-0.3639610306789276j,8+0j,-5.949747468305834+0.3639610306789276j,1+7j,3.9497474683058336+12.363961030678928j,1764,168.4680374,50,35.53196257,64,35.53196257,50,168.4680374
888,1.50368E+12,-4,-2,-8,-1,13,2,2,5,6.33442973,0.875,-8,13,5.989574275,7+0j,-15.585786437626906+17.071067811865476j,15+4j,-18.414213562373096-2.9289321881345245j,-1+0j,-18.414213562373096+2.9289321881345245j,15-4j,-15.585786437626906-17.071067811865476j,49,534.3380951,241,347.6619049,1,347.6619049,241,534.3380951
889,1.50368E+12,1,2,-12,-3,-2,-3,-2,-2,4.206712323,-2.625,-12,2,4.730221982,-21+0j,7.242640687119286+7.17157287525381j,13-4j,-1.2426406871192857-12.82842712474619j,-9+0j,-1.2426406871192857+12.82842712474619j,13+4j,7.242640687119286-7.17157287525381j,441,103.8873016,185,166.1126984,81,166.1126984,185,103.8873016
890,1.50368E+12,-35,-22,-8,8,10,-4,-4,-4,14.87987615,-7.375,-35,10,15.751984,-59+0j,-66.21320343559643+8.242640687119284j,-13+30j,-23.786796564403573+0.24264068711928388j,-15+0j,-23.786796564403573-0.24264068711928388j,-13-30j,-66.21320343559643-8.242640687119284j,3481,4452.129435,1069,565.8705653,225,565.8705653,1069,4452.129435
891,1.50368E+12,-4,-14,1,15,-7,0,0,-1,8.24187912,-1.25,-14,15,7.810249676,-10+0j,-18.213203435596427-2.4142135623730976j,-12+28j,24.213203435596427-0.4142135623730976j,-10+0j,24.213203435596427+0.4142135623730976j,-12-28j,-18.213203435596427+2.4142135623730976j,100,337.5492065,928,586.4507935,100,586.4507935,928,337.5492065
892,1.50368E+12,16,3,-2,5,-5,0,7,9,6.685538764,4.125,-5,16,7.491662032,33+0j,25.949747468305834+9.707106781186548j,6+11j,16.050252531694166-8.292893218813452j,-1+0j,16.050252531694166+8.292893218813452j,6-11j,25.949747468305834-9.707106781186548j,1089,767.6173157,157,326.3826843,1,326.3826843,157,767.6173157
