,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
827,827,1503685043084,15,-1,-9,-3,-5,-3,1,3
828,828,1503685043092,14,6,6,4,2,4,8,29
829,829,1503685043099,1,-7,-9,-4,0,-2,-1,13
830,830,1503685043115,1,-9,-9,-7,-5,1,7,1
831,831,1503685043123,14,-10,-14,-3,2,1,-1,-1
832,832,1503685043137,-12,-26,-14,-4,-4,-3,-9,-17
833,833,1503685043144,-1,-11,-13,-6,-4,-1,4,7
834,834,1503685043152,-1,0,-2,1,0,-1,0,-14
835,835,1503685043159,1,2,5,2,0,-5,-19,11
836,836,1503685043174,4,10,6,-1,-5,-2,-6,-4
837,837,1503685043182,-3,6,7,7,7,0,-1,-7
838,838,1503685043190,-14,-12,-12,-1,3,-2,-7,-7
839,839,1503685043204,-1,-8,-1,-6,-8,-5,4,-12
840,840,1503685043212,-9,-3,3,4,1,0,4,-8
841,841,1503685043220,7,7,13,27,42,14,6,-28
842,842,1503685043234,0,23,12,3,4,1,8,3
843,843,1503685043242,3,0,-1,-7,-11,-1,1,22
844,844,1503685043251,3,-1,-3,-1,2,2,5,15
845,845,1503685043264,-4,-2,-3,-8,-12,-9,-14,-15
846,846,1503685043272,15,-1,-7,-5,-4,-3,-2,16
847,847,1503685043279,3,8,9,5,3,6,1,12
848,848,1503685043294,-9,-11,2,2,2,0,-2,-6
849,849,1503685043302,-14,-9,-9,-4,-6,-4,-12,2
850,850,1503685043310,1,6,12,5,1,2,-4,-19
851,851,1503685043324,4,-4,-6,-7,-10,-4,-6,10
852,852,1503685043332,0,-4,-7,-8,-7,-5,-11,-9
853,853,1503685043339,-10,4,6,2,0,-1,-4,-25
854,854,1503685043354,1,-1,-3,-5,-3,-3,-1,-9
855,855,1503685043362,-10,-8,-6,-10,-8,-1,15,4
856,856,1503685043370,11,3,-1,0,-2,-3,-13,10
857,857,1503685043386,-21,-3,-3,-1,-3,-6,-14,-38
858,858,1503685043392,4,7,4,2,2,0,8,-12
