SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,STD_DEV,MEAN,MIN,MAX,RMS,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,AMP_FFT1,AMP_FFT2,AMP_FFT3,AMP_FFT4,AMP_FFT5,AMP_FFT6,AMP_FFT7,AMP_FFT8
0,1.5037E+12,-1,-1,-4,-1,0,-2,0,-1,1.281739889,-1.25,-4,0,1.732050808,-10+0j,-0.2928932188134524+3.2928932188134525j,3+1j,-1.7071067811865475-4.707106781186548j,0j,-1.7071067811865475+4.707106781186548j,3-1j,-0.2928932188134524-3.2928932188134525j,100,10.92893219,10,25.07106781,0,25.07106781,10,10.92893219
1,1.5037E+12,0,-2,-2,1,3,0,0,-2,1.752549164,-0.25,-2,3,1.658312395,-2+0j,-6.535533905932738+1.292893218813452j,5+1j,0.5355339059327378-2.707106781186548j,4+0j,0.5355339059327378+2.707106781186548j,5-1j,-6.535533905932738-1.292893218813452j,4,44.38477631,26,7.615223689,16,7.615223689,26,44.38477631
2,1.5037E+12,0,2,0,0,0,0,-1,-1,0.9258201,0,-1,2,0.866025404,0j,0.7071067811865477-3.1213203435596424j,1-3j,-0.7071067811865477-1.1213203435596424j,-2+0j,-0.7071067811865477+1.1213203435596424j,1+3j,0.7071067811865477+3.1213203435596424j,0,10.24264069,10,1.757359313,4,1.757359313,10,10.24264069
3,1.5037E+12,-1,-4,-1,-2,1,-3,-1,0,1.597989809,-1.375,-4,1,2.031009601,-11+0j,-1.2928932188134525+2.121320343559643j,2+5j,-2.7071067811865475+2.121320343559643j,7+0j,-2.7071067811865475-2.121320343559643j,2-5j,-1.2928932188134525-2.121320343559643j,121,6.171572875,29,11.82842712,49,11.82842712,29,6.171572875
4,1.5037E+12,-2,0,-3,-1,0,-1,-2,-2,1.060660172,-1.375,-3,0,1.695582496,-11+0j,-2-0.4142135623730949j,3-2j,-2-2.414213562373095j,-3+0j,-2+2.414213562373095j,3+2j,-2+0.4142135623730949j,121,4.171572875,13,9.828427125,9,9.828427125,13,4.171572875
5,1.5037E+12,-3,1,0,-1,-2,-1,0,-2,1.309307341,-1,-3,1,1.58113883,-8+0j,-0.2928932188134523-2.1213203435596424j,-5-3j,-1.7071067811865477-2.1213203435596424j,-2+0j,-1.7071067811865477+2.1213203435596424j,-5+3j,-0.2928932188134523+2.1213203435596424j,64,4.585786438,34,7.414213562,4,7.414213562,34,4.585786438
6,1.5037E+12,1,0,0,-5,-3,-3,1,-2,2.199837656,-1.375,-5,1,2.474873734,-11+0j,8.242640687119286+1.0000000000000004j,-3-4j,-0.24264068711928566-0.9999999999999996j,9+0j,-0.24264068711928566+0.9999999999999996j,-3+4j,8.242640687119286-1.0000000000000004j,121,68.9411255,25,1.058874503,81,1.058874503,25,68.9411255
7,1.5037E+12,0,-1,0,1,0,1,-1,-2,1.035098339,-0.25,-2,1,1,-2+0j,-3.5355339059327378-1.707106781186548j,1-1j,3.5355339059327378+0.2928932188134521j,0j,3.5355339059327378-0.2928932188134521j,1+1j,-3.5355339059327378+1.707106781186548j,4,15.41421356,2,12.58578644,0,12.58578644,2,15.41421356
8,1.5037E+12,-1,1,0,1,0,1,-2,0,1.069044968,0,-2,1,1,0j,-1.7071067811865475-2.7071067811865475j,1-1j,-0.29289321881345254+1.2928932188134525j,-6+0j,-0.29289321881345254-1.2928932188134525j,1+1j,-1.7071067811865475+2.7071067811865475j,0,10.24264069,2,1.757359313,36,1.757359313,2,10.24264069
9,1.5037E+12,0,-2,-2,-3,-2,0,0,0,1.246423455,-1.125,-3,0,1.620185175,-9+0j,2.707106781186547+5.535533905932738j,-1j,1.2928932188134528+1.5355339059327378j,1+0j,1.2928932188134528-1.5355339059327378j,1j,2.707106781186547-5.535533905932738j,81,37.97056275,1,4.029437252,1,4.029437252,1,37.97056275
