,Start,End,Ignored
0,1023.3333333333334,1093.3333333333333,1
1,1556.6666666666667,1636.6666666666667,2
2,2090.0,2186.6666666666665,3
3,2803.3333333333335,2883.3333333333335,4
4,3470.0,3546.6666666666665,1
5,4116.666666666667,4200.0,2
6,5053.333333333333,5146.666666666667,3
7,5553.333333333333,5663.333333333333,4
8,6410.0,6510.0,1
9,6980.0,7056.666666666667,2
10,7620.0,7716.666666666667,3
11,8313.333333333334,8403.333333333334,4
12,9433.333333333334,9523.333333333334,1
13,10223.333333333334,10293.333333333334,2
14,10986.666666666666,11060.0,3
15,11763.333333333334,11846.666666666666,4
16,12573.333333333334,12636.666666666666,1
17,13233.333333333334,13300.0,2
18,14006.666666666666,14080.0,3
19,14943.333333333334,15010.0,4
20,15853.333333333334,15943.333333333334,1
21,17063.333333333332,17126.666666666668,2
22,18090.0,18176.666666666668,3
23,18866.666666666668,18970.0,4
24,19820.0,19906.666666666668,1
25,20743.333333333332,20813.333333333332,2
26,21653.333333333332,21736.666666666668,3
27,22923.333333333332,23036.666666666668,4
28,24043.333333333332,24120.0,1
29,24940.0,24993.333333333332,2
30,26246.666666666668,26363.333333333332,3
31,27243.333333333332,27326.666666666668,4
32,28230.0,28290.0,1
33,29010.0,29076.666666666668,2
34,30383.333333333332,30523.333333333332,3
35,31600.0,31683.333333333332,4
36,32740.0,32810.0,1
37,34050.0,34123.333333333336,2
38,35353.333333333336,35436.666666666664,3
39,36816.666666666664,36880.0,4
