,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
0,0,1503957322495,7,4,-1,0,1,0,1,5
1,1,1503957322509,2,-3,-2,-1,-1,1,-2,-2
2,2,1503957322519,-3,-5,1,0,-2,-1,-1,-4
3,3,1503957322525,0,-1,-1,-2,0,-1,-2,-1
4,4,1503957322540,-3,-3,-1,-2,-1,0,-1,-2
5,5,1503957322556,-5,-2,-2,-1,-1,-2,-2,-4
6,6,1503957322557,6,2,-2,-1,0,-2,-2,3
7,7,1503957322569,5,1,-1,-1,0,-1,-2,0
8,8,1503957322585,0,-4,0,-1,-1,-1,0,0
9,9,1503957322599,-3,-8,-1,-1,-2,-1,-2,-1
10,10,1503957322607,1,0,2,2,1,0,1,1
11,11,1503957322615,-5,-5,-1,0,-1,-1,0,-3
12,12,1503957322629,-3,-3,-2,-3,0,0,-1,-1
13,13,1503957322637,-1,-2,-1,1,-1,-2,-1,0
14,14,1503957322644,1,2,0,1,-1,-1,1,0
15,15,1503957322660,0,1,-1,-3,0,-1,0,1
16,16,1503957322668,-3,-3,-2,-3,-1,0,0,-2
17,17,1503957322675,-3,-2,-1,0,0,-1,-1,-1
18,18,1503957322689,1,3,1,0,-3,-1,-1,-1
19,19,1503957322699,-2,-2,-2,-1,0,-2,0,-3
20,20,1503957322704,0,6,3,0,0,-2,-1,-1
21,21,1503957322719,-3,-9,-1,-1,-2,-1,0,-1
22,22,1503957322727,-2,-2,-2,0,-1,-1,-2,1
23,23,1503957322735,3,4,-1,1,1,-1,0,2
24,24,1503957322749,0,-5,-1,-2,0,-1,-1,3
25,25,1503957322757,3,4,-1,-2,-2,0,-1,1
26,26,1503957322765,3,2,-4,-1,-1,0,-2,-3
27,27,1503957322779,0,2,1,0,-1,1,-3,2
28,28,1503957322787,3,-2,-1,0,-1,-1,0,-5
29,29,1503957322795,-7,-4,-1,-2,-3,-1,1,-5
30,30,1503957322809,-3,-3,0,-1,0,-2,1,2
31,31,1503957322817,-2,1,1,-1,0,0,-2,0
32,32,1503957322824,2,-2,0,-1,0,-1,-1,-1
33,33,1503957322840,0,1,-4,-2,0,0,-1,0
34,34,1503957322848,-2,-3,0,0,0,0,-1,0
35,35,1503957322855,-1,1,1,0,-1,-1,0,0
36,36,1503957322869,-4,-2,-1,-1,-1,-1,-3,-3
