,Start,End,Ignored
0,936.6666666666666,1003.3333333333334,2
1,1930.0,1980.0,3
2,2643.3333333333335,2653.3333333333335,4
3,3546.6666666666665,3590.0,1
4,4280.0,4333.333333333333,2
5,5016.666666666667,5060.0,3
6,5713.333333333333,5763.333333333333,4
7,6286.666666666667,6370.0,1
8,7036.666666666667,7126.666666666667,2
9,7950.0,8016.666666666667,3
10,8720.0,8760.0,4
11,9366.666666666666,9420.0,1
12,10273.333333333334,10356.666666666666,2
13,10953.333333333334,11000.0,3
14,11676.666666666666,11736.666666666666,4
15,12166.666666666666,12256.666666666666,1
16,12830.0,12910.0,2
17,13590.0,13650.0,3
18,14313.333333333334,14383.333333333334,4
19,15000.0,15080.0,1
20,15823.333333333334,15883.333333333334,2
21,16360.0,16430.0,3
22,16910.0,16973.333333333332,4
23,17666.666666666668,17733.333333333332,1
24,18953.333333333332,19006.666666666668,2
25,19640.0,19740.0,3
26,20400.0,20453.333333333332,4
27,21060.0,21120.0,1
28,22153.333333333332,22216.666666666668,2
29,22786.666666666668,22856.666666666668,3
30,23586.666666666668,23670.0,4
31,24056.666666666668,24180.0,1
32,24910.0,24973.333333333332,2
33,25570.0,25646.666666666668,3
34,26430.0,26506.666666666668,4
35,27023.333333333332,27070.0,1
36,27703.333333333332,27750.0,2
37,28383.333333333332,28426.666666666668,3
38,29053.333333333332,29116.666666666668,4
39,29890.0,29953.333333333332,1
